date,coal,lignite,gas,diesel,hsd,naphtha,multi_fuel,thermal,nuclear,hydro,bhutan,wind,solar,other_re,renewables,total_ex_re,total
2022-01-01,2861.38,105.17,81.34,0.36,0.0,0.0,0.0,3048.25,146.67,237.19,1.59,146.79,164.13,25.82,336.74,3433.7,3770.4399999999996
2022-01-02,2758.65,107.98,76.64,0.36,0.0,0.0,0.0,2943.63,138.92,221.3,1.44,148.06,178.11,28.43,354.6,3305.29,3659.89
2022-01-03,2931.85,107.45,81.57,0.36,0.0,0.0,0.0,3121.23,134.13,258.79,0.96,110.45,188.98,27.2,326.63,3515.11,3841.7400000000002
2022-01-04,3039.38,109.83,75.03,0.36,0.0,0.0,0.0,3224.6,134.34,251.58,0.92,94.95,170.83,50.66,316.44,3611.44,3927.88
2022-01-05,3036.11,106.41,78.57,0.36,0.0,0.0,0.0,3221.45,132.24,256.17,0.72,75.34,139.01,29.08,243.43,3610.58,3854.0099999999998
2022-01-06,2966.62,102.29,77.34,0.36,0.0,0.0,0.0,3146.61,121.32,258.59,0.72,70.6,149.404,28.61,248.614,3527.24,3775.854
2022-01-07,2962.24,104.3,73.36,0.36,0.0,0.0,0.0,3140.26,109.72,265.01,1.26,104.06,136.76,26.79,267.61,3516.25,3783.86
2022-01-08,2845.35,96.98,69.19,0.36,0.0,0.0,0.0,3011.88,113.17,246.77,1.01,78.2,164.96,24.92,268.08,3372.83,3640.91
2022-01-09,2736.86,92.53,67.64,0.36,0.0,0.0,0.0,2897.39,120.56,234.14,0.81,78.23,179.66,23.84,281.73,3252.9,3534.63
2022-01-10,2844.01,94.96,65.18,0.36,0.0,0.0,0.0,3004.51,122.6,251.86,1.13,83.2,197.0,26.05,306.25,3380.1,3686.35
2022-01-11,2861.05,93.0,72.74,0.36,0.0,0.0,0.0,3027.15,127.34,240.94,0.59,125.902,190.573,28.26,344.735,3396.02,3740.755
2022-01-12,2876.59,95.92,72.91,0.36,0.0,0.0,0.0,3045.78,129.75,246.86,0.79,103.8,191.91,27.66,323.37,3423.18,3746.5499999999997
2022-01-13,2877.66,98.54,72.41,0.36,0.0,0.0,0.0,3048.97,128.76,236.38,0.86,111.44,206.47,24.03,341.94,3414.97,3756.91
2022-01-14,2764.86,97.3,72.61,0.36,0.0,0.0,0.0,2935.13,128.83,235.47,0.59,123.73,202.68,29.07,355.48,3300.02,3655.5
2022-01-15,2723.25,99.81,73.59,0.36,0.0,0.0,0.0,2897.01,128.59,224.85,0.9,136.22,204.78,27.21,368.21,3251.35,3619.56
2022-01-16,2702.25,106.75,79.87,0.36,0.0,0.0,0.0,2889.23,128.15,223.32,0.8,152.57,192.93,25.72,371.22,3241.5,3612.7200000000003
2022-01-17,2887.44,109.31,74.89,0.36,0.0,0.0,0.0,3072.0,128.41,238.6,0.59,128.51,199.35,38.81,366.67,3439.6,3806.27
2022-01-18,2981.12,107.49,73.91,0.36,0.0,0.0,0.0,3162.88,128.51,254.54,0.86,105.98,213.21,12.99,332.18,3546.79,3878.97
2022-01-19,3049.63,107.02,73.83,0.36,0.0,0.0,0.0,3230.84,128.42,258.34,0.64,71.53,215.59,27.58,314.7,3618.24,3932.9399999999996
2022-01-20,3038.66,114.27,71.51,0.36,0.0,0.0,0.0,3224.8,127.25,254.87,0.36,121.54,214.74,14.23,350.51,3607.28,3957.79
2022-01-21,3058.25,118.85,72.39,0.36,0.0,0.0,0.0,3249.85,116.75,251.8,0.57,132.81,205.89,27.93,366.63,3618.97,3985.6
2022-01-22,2889.11,110.69,73.37,0.36,0.0,0.0,0.0,3073.53,120.82,229.77,0.5,236.38,172.76,27.4,436.54,3424.62,3861.16
2022-01-23,2855.25,108.13,74.1,0.36,0.0,0.0,0.0,3037.84,128.63,210.25,0.5,120.12,209.67,27.28,357.07,3377.22,3734.29
2022-01-24,3038.29,114.37,73.6,0.36,0.0,0.0,0.0,3226.62,130.21,261.29,0.66,43.41,220.05,37.53,300.99,3618.78,3919.7700000000004
2022-01-25,3061.69,119.11,72.96,0.36,0.0,0.0,0.0,3254.12,129.88,277.52,0.33,44.59,220.1,36.1,300.79,3661.85,3962.64
2022-01-26,2934.83,112.02,74.86,0.36,0.0,0.0,0.0,3122.07,130.79,244.49,0.27,59.39,212.12,27.35,298.86,3497.62,3796.48
2022-01-27,2991.26,110.35,77.68,0.36,0.0,0.0,0.0,3179.65,131.08,247.37,0.65,122.74,208.33,28.18,359.25,3558.75,3918.0
2022-01-28,3029.64,111.35,78.35,0.36,0.0,0.0,0.0,3219.7,133.3,241.21,1.1,146.39,253.69,29.77,429.85,3595.31,4025.16
2022-01-29,3055.99,114.51,80.23,0.36,0.0,0.0,0.0,3251.09,130.05,261.44,1.1,96.54,229.24,28.8,354.58,3643.68,3998.2599999999998
2022-01-30,3020.67,114.99,78.76,0.36,0.0,0.0,0.0,3214.78,129.92,230.88,1.1,59.47,235.98,28.61,324.06,3576.68,3900.74
2022-01-31,3119.57,103.34,82.22,0.36,0.0,0.0,0.0,3305.49,128.21,278.71,1.1,66.13,227.28,28.69,322.1,3713.51,4035.61
2022-02-01,3180.2,92.97,82.03,0.36,0.0,0.0,0.0,3355.56,128.0,276.58,0.1,53.43,221.36,28.95,303.74,3760.24,4063.9799999999996
2022-02-02,3177.45,100.2,82.27,0.36,0.0,0.0,0.0,3360.28,129.01,272.23,0.03,91.93,229.56,28.41,349.9,3761.55,4111.45
2022-02-03,3061.97,97.86,81.1,0.36,0.0,0.0,0.0,3241.29,127.98,252.9,0.89,161.78,218.58,26.79,407.15,3623.06,4030.21
2022-02-04,3125.19,102.7,79.7,0.36,0.0,0.0,0.0,3307.95,132.45,240.3,0.45,81.92,238.85,25.34,346.11,3681.15,4027.26
2022-02-05,3177.75,102.19,78.86,0.36,0.0,0.0,0.0,3359.16,135.66,256.9,1.62,46.14,238.53,28.28,312.95,3753.34,4066.29
2022-02-06,3066.39,103.49,74.22,0.36,0.0,0.0,0.0,3244.46,135.57,235.5,0.99,83.52,228.53,26.77,338.82,3616.52,3955.34
2022-02-07,3188.89,100.86,82.16,0.36,0.0,0.0,0.0,3372.27,135.27,271.31,1.28,59.0,226.38,30.89,316.27,3780.13,4096.4
2022-02-08,3215.13,114.68,83.86,0.36,0.0,0.0,0.0,3414.03,135.18,274.0,1.12,76.04,219.88,30.7,326.62,3824.33,4150.95
2022-02-09,3137.53,119.62,85.38,0.36,0.0,0.0,0.0,3342.89,135.35,262.96,0.43,102.37,222.69,27.48,352.54,3741.63,4094.17
2022-02-10,3100.88,118.55,82.98,0.36,0.0,0.0,0.0,3302.77,135.06,245.86,0.9,117.9,155.71,28.48,302.09,3684.59,3986.6800000000003
2022-02-11,3080.24,117.84,78.75,0.36,0.0,0.0,0.0,3277.19,135.3,243.12,0.57,151.49,239.25,51.09,441.83,3656.18,4098.01
2022-02-12,3123.07,115.21,70.73,0.36,0.0,0.0,0.0,3309.37,135.47,266.76,0.62,83.09,240.83,52.86,376.78,3712.22,4089.0
2022-02-13,3040.12,114.97,71.66,0.36,0.0,0.0,0.0,3227.11,135.44,235.23,0.51,79.31,242.8932,30.02,352.2232,3598.29,3950.5132
2022-02-14,3118.49,115.11,78.77,0.36,0.0,0.0,0.0,3312.73,135.13,255.1,0.77,89.94,241.91,32.47,364.32,3703.73,4068.05
2022-02-15,3153.86,117.3,81.22,0.36,0.0,0.0,0.0,3352.74,132.12,275.58,0.29,89.05,229.63,30.51,349.19,3760.73,4109.92
2022-02-16,3196.14,116.02,84.31,0.36,0.0,0.0,0.0,3396.83,128.94,271.3,0.29,66.87,228.94,32.65,328.46,3797.36,4125.82
2022-02-17,3170.14,116.32,83.7,0.36,0.0,0.0,0.0,3370.52,128.54,268.49,0.78,81.67,237.22,31.74,350.63,3768.33,4118.96
2022-02-18,3133.68,114.74,84.97,0.36,0.0,0.0,0.0,3333.75,130.2,274.72,0.82,138.82,232.18,30.75,401.75,3739.49,4141.24
2022-02-19,3099.82,116.51,82.68,0.36,0.0,0.0,0.0,3299.37,125.15,269.36,0.65,140.59,234.79,53.09,428.47,3694.53,4123.0
2022-02-20,3013.3,119.9,77.46,0.36,0.0,0.0,0.0,3211.02,130.05,246.29,0.86,107.3,256.43,32.39,396.12,3588.22,3984.3399999999997
2022-02-21,3106.09,119.06,73.54,0.36,0.0,0.0,0.0,3299.05,130.14,288.78,0.53,88.17,167.84,30.28,286.29,3718.5,4004.79
2022-02-22,3093.75,122.59,72.02,0.36,0.0,0.0,0.0,3288.72,129.85,298.19,0.64,161.51,249.26,31.24,442.01,3717.4,4159.41
2022-02-23,3142.65,120.02,70.42,0.36,0.0,0.0,0.0,3333.45,138.96,296.23,0.46,119.37,245.34,33.9,398.61,3769.1,4167.71
2022-02-24,3228.81,115.95,73.66,0.36,0.0,0.0,0.0,3418.78,142.54,306.19,0.53,86.92,238.887,34.26,360.067,3868.04,4228.107
2022-02-25,3212.29,117.13,72.11,0.36,0.0,0.0,0.0,3401.89,143.11,296.72,0.73,99.74,253.7,34.05,387.49,3842.45,4229.94
2022-02-26,3119.15,120.14,76.56,0.36,0.0,0.0,0.0,3316.21,143.16,270.7,0.52,132.33,250.33,35.59,418.25,3730.59,4148.84
2022-02-27,2976.77,112.59,77.73,0.36,0.0,0.0,0.0,3167.45,144.85,267.18,0.72,168.23,264.26,33.06,465.55,3580.2,4045.75
2022-02-28,3146.5,102.02,79.4,0.36,0.0,0.0,0.0,3328.28,147.98,281.45,0.72,139.82,256.75,32.0,428.57,3758.43,4187.0
2022-03-01,3199.23,105.13,78.06,0.36,0.0,0.0,0.0,3382.78,148.95,278.69,0.71,102.07,252.42,31.2,385.69,3811.13,4196.82
2022-03-02,3124.44,103.44,80.45,0.36,0.0,0.0,0.0,3308.69,148.0,291.73,0.77,164.71,249.39,31.84,445.94,3749.19,4195.13
2022-03-03,3120.06,105.74,81.1,0.36,0.0,0.0,0.0,3307.26,148.43,281.53,0.79,193.98,260.42,31.36,485.76,3738.01,4223.77
2022-03-04,3171.09,104.41,77.31,0.36,0.0,0.0,0.0,3353.17,140.68,310.57,0.84,166.65,261.56,32.99,461.2,3805.26,4266.46
2022-03-05,3222.22,97.04,75.57,0.36,0.0,0.0,0.0,3395.19,137.46,308.97,0.87,120.87,260.1,33.39,414.36,3842.49,4256.849999999999
2022-03-06,3171.2,94.7,75.32,0.36,0.0,0.0,0.0,3341.58,143.28,270.42,1.34,117.35,232.98,33.12,383.45,3756.62,4140.07
2022-03-07,3209.91,97.1,76.07,0.36,0.0,0.0,0.0,3383.44,144.16,300.3,1.78,139.52,241.02,73.61,454.15,3829.68,4283.83
