date,coal,lignite,gas,diesel,hsd,naphtha,multi_fuel,thermal,nuclear,hydro,bhutan,wind,solar,other_re,renewables,total_ex_re,total
2024-01-01,3404.1,91.42,70.38,1.11,0.0,0.0,0.0,3567.01,152.32,204.7,0.0,143.32,251.34,26.62,421.28,3924.03,4345.31
2024-01-02,3502.3,92.1,73.89,1.11,0.0,0.0,0.0,3669.4,155.14,212.87,0.0,115.92,240.95,25.0,381.87,4037.41,4419.28
2024-01-03,3578.47,95.78,69.97,1.11,0.0,0.0,0.0,3745.33,154.41,211.17,0.0,128.9,244.35,24.61,397.86,4110.91,4508.7699999999995
2024-01-04,3583.93,96.51,74.01,1.11,0.0,0.0,0.0,3755.56,148.1,222.31,0.0,142.167,219.12,25.14,386.427,4125.97,4512.397
2024-01-05,3603.08,97.85,81.51,1.11,0.0,0.0,0.0,3783.55,130.81,206.93,0.0,123.587,236.8,25.86,386.247,4121.29,4507.537
2024-01-06,3501.09,93.16,74.65,1.11,0.0,0.0,0.0,3670.01,127.27,194.06,0.0,185.86,248.11,24.95,458.92,3991.34,4450.26
2024-01-07,3344.98,91.38,56.65,1.11,0.0,0.0,0.0,3494.12,126.88,172.85,0.0,233.25,226.35,24.44,484.04,3793.85,4277.89
2024-01-08,3488.46,90.42,77.6,1.11,0.0,0.0,0.0,3657.59,132.79,185.27,0.0,214.08,185.38,23.59,423.05,3975.65,4398.7
2024-01-09,3460.37,94.05,71.98,1.11,0.0,0.0,0.0,3627.51,133.72,188.24,0.0,275.11,189.79,24.93,489.83,3949.47,4439.3
2024-01-10,3504.51,103.83,70.22,1.11,0.0,0.0,0.0,3679.67,132.5,208.36,0.0,219.84,234.23,25.2,479.27,4020.53,4499.8
2024-01-11,3525.25,105.03,66.79,1.11,0.0,0.0,0.0,3698.18,127.49,182.79,0.0,187.98,299.74,25.49,513.21,4008.46,4521.67
2024-01-12,3593.05,104.91,73.49,1.11,0.0,0.0,0.0,3772.56,132.06,193.27,0.0,171.75,308.45,24.74,504.94,4097.89,4602.83
2024-01-13,3668.21,98.36,74.85,1.11,0.0,0.0,0.0,3842.53,132.37,205.51,0.0,81.81,286.3,24.33,392.44,4180.41,4572.849999999999
2024-01-14,3483.51,102.58,57.49,1.11,0.0,0.0,0.0,3644.69,125.27,188.65,0.0,87.68,291.33,23.14,402.15,3958.61,4360.76
2024-01-15,3511.72,104.74,69.81,1.11,0.0,0.0,0.0,3687.38,122.55,197.23,0.0,70.62,300.47,24.14,395.23,4007.16,4402.389999999999
2024-01-16,3608.17,106.05,81.23,1.11,0.0,0.0,0.0,3796.56,120.25,209.55,0.0,59.18,294.24,23.42,376.84,4126.36,4503.2
2024-01-17,3656.77,106.05,91.21,1.11,0.0,0.0,0.0,3855.14,126.87,215.6,0.0,79.25,269.79,23.37,372.41,4197.61,4570.0199999999995
2024-01-18,3692.32,104.08,88.4,1.11,0.0,0.0,0.0,3885.91,133.55,220.55,0.0,107.53,261.36,24.87,393.76,4240.01,4633.77
2024-01-19,3694.64,107.51,90.54,1.11,0.0,0.0,0.0,3893.8,138.93,232.29,0.0,111.38,283.61,26.85,421.84,4265.02,4686.860000000001
2024-01-20,3700.47,108.5,95.13,1.11,0.0,0.0,0.0,3905.21,141.37,230.3,0.0,108.65,275.74,25.07,409.46,4276.88,4686.34
2024-01-21,3630.38,104.43,80.9,1.11,0.0,0.0,0.0,3816.82,141.94,219.29,0.0,91.3,277.6,43.95,412.85,4178.05,4590.900000000001
2024-01-22,3651.01,102.78,92.09,1.11,0.0,0.0,0.0,3846.99,139.81,236.11,0.0,92.76,293.22,25.13,411.11,4222.91,4634.0199999999995
2024-01-23,3694.69,105.76,102.26,1.11,0.0,0.0,0.0,3903.82,133.94,239.06,0.0,97.78,280.99,26.16,404.93,4276.82,4681.75
2024-01-24,3727.48,104.57,101.78,1.11,0.0,0.0,0.0,3934.94,131.44,235.82,0.0,74.18,286.08,26.09,386.35,4302.2,4688.55
2024-01-25,3722.77,106.24,105.33,1.11,0.0,0.0,0.0,3935.45,136.54,234.17,0.0,87.74,296.37,26.74,410.85,4306.16,4717.01
2024-01-26,3538.98,111.52,81.78,1.11,0.0,0.0,0.0,3733.39,136.36,207.73,0.23,135.52,291.15,26.7,453.37,4077.71,4531.08
2024-01-27,3576.34,104.67,91.01,1.11,0.0,0.0,0.0,3773.13,136.1,207.18,0.0,153.2,279.8,25.52,458.52,4116.41,4574.93
2024-01-28,3615.84,106.91,84.96,1.11,0.0,0.0,0.0,3808.82,140.68,194.76,0.0,153.2,279.8,25.52,458.52,4144.26,4602.780000000001
2024-01-29,3671.19,109.05,91.12,1.11,0.0,0.0,0.0,3872.47,124.36,223.69,0.0,99.29,293.14,25.97,418.4,4220.52,4638.92
2024-01-30,3712.92,112.13,115.42,1.11,0.0,0.0,0.0,3941.58,122.37,229.27,0.0,84.04,262.64,25.58,372.26,4293.22,4665.4800000000005
2024-01-31,3673.98,115.49,94.83,1.11,0.0,0.0,0.0,3885.41,122.17,213.94,0.0,91.22,296.16,24.23,411.61,4221.52,4633.13
2024-02-01,3581.23,106.33,87.09,1.11,0.0,0.0,0.0,3775.76,121.97,204.85,0.0,71.63,307.1,23.5,402.23,4102.58,4504.8099999999995
2024-02-02,3682.88,91.8,94.6,1.11,0.0,0.0,0.0,3870.39,122.31,219.34,0.0,64.6,295.26,23.0,382.86,4212.04,4594.9
2024-02-03,3684.3,101.74,97.95,1.11,0.0,0.0,0.0,3885.1,121.77,220.19,0.0,80.25,249.1,26.81,356.16,4227.06,4583.22
2024-02-04,3515.8,98.69,69.15,1.11,0.0,0.0,0.0,3684.75,122.71,184.41,0.0,106.05,257.27,25.82,389.14,3991.87,4381.01
2024-02-05,3532.79,103.75,106.28,1.11,0.0,0.0,0.0,3743.93,122.02,204.39,0.0,79.6,321.31,24.17,425.08,4070.34,4495.42
2024-02-06,3621.25,100.81,96.54,1.11,0.0,0.0,0.0,3819.71,123.05,220.1,0.0,104.58,324.63,23.32,452.53,4162.86,4615.389999999999
2024-02-07,3604.95,99.18,105.83,1.11,0.0,0.0,0.0,3811.07,123.05,213.48,0.0,138.05,321.88,24.48,484.41,4147.6,4632.01
2024-02-08,3559.44,93.67,101.35,1.11,0.0,0.0,0.0,3755.57,122.47,202.11,0.0,174.68,339.68,23.93,538.29,4080.15,4618.4400000000005
2024-02-09,3594.64,96.32,99.0,1.11,0.0,0.0,0.0,3791.07,122.89,213.8,0.0,126.94,362.31,23.22,512.47,4127.76,4640.2300000000005
2024-02-10,3553.83,94.4,97.65,1.11,0.0,0.0,0.0,3746.99,117.34,205.6,0.0,172.96,354.16,22.33,549.45,4069.93,4619.38
2024-02-11,3418.42,100.53,87.47,1.11,0.0,0.0,0.0,3607.53,106.27,177.65,0.0,195.2,345.3,23.5,564.0,3891.45,4455.45
2024-02-12,3550.02,106.21,102.86,1.11,0.0,0.0,0.0,3760.2,106.23,204.27,0.0,183.77,301.4,23.52,508.69,4070.7,4579.389999999999
2024-02-13,3619.55,109.86,140.91,1.11,0.0,0.0,0.0,3871.43,107.11,201.16,0.0,164.82,311.84,25.81,502.47,4179.7,4682.17
2024-02-14,3591.07,108.17,93.43,1.11,0.0,0.0,0.0,3793.78,107.14,195.8,0.0,183.701,338.6,24.87,547.171,4096.72,4643.8910000000005
2024-02-15,3550.54,112.23,91.24,1.11,0.0,0.0,0.0,3755.12,105.92,193.98,0.0,210.64,355.37,20.66,586.67,4055.02,4641.69
2024-02-16,3555.63,110.55,76.95,1.11,0.0,0.0,0.0,3744.24,105.84,193.95,0.0,247.14,357.22,24.92,629.28,4044.03,4673.31
2024-02-17,3612.87,100.81,69.41,1.11,0.0,0.0,0.0,3784.2,105.83,198.1,0.0,159.41,367.08,22.02,548.51,4088.13,4636.64
2024-02-18,3443.94,93.95,59.11,1.11,0.0,0.0,0.0,3598.11,105.95,180.92,0.0,173.69,348.81,24.02,546.52,3884.98,4431.5
2024-02-19,3408.55,82.96,62.53,1.11,0.0,0.0,0.0,3555.15,122.37,204.06,0.0,276.02,343.18,21.73,640.93,3881.58,4522.51
2024-02-20,3617.18,88.88,65.61,1.11,0.0,0.0,0.0,3772.78,122.82,225.44,0.0,144.83,347.74,22.3,514.87,4121.04,4635.91
2024-02-21,3608.05,88.96,67.5,1.11,0.0,0.0,0.0,3765.62,122.24,222.63,0.0,161.63,348.61,22.54,532.78,4110.49,4643.2699999999995
2024-02-22,3654.54,91.25,63.78,1.11,0.0,0.0,0.0,3810.68,122.95,225.16,0.0,133.5,359.2,24.06,516.76,4158.79,4675.55
2024-02-23,3706.22,93.17,66.55,1.11,0.0,0.0,0.0,3867.05,123.06,225.62,0.0,129.48,377.71,24.08,531.27,4215.73,4747.0
2024-02-24,3712.08,92.66,63.17,1.11,0.0,0.0,0.0,3869.02,123.66,220.58,0.0,104.23,364.12,22.56,490.91,4213.26,4704.17
2024-02-25,3540.33,91.33,56.29,1.11,0.0,0.0,0.0,3689.06,120.61,188.2,0.0,160.15,340.47,20.85,521.47,3997.87,4519.34
2024-02-26,3545.86,95.04,60.59,1.11,0.0,0.0,0.0,3702.6,112.7,198.39,0.0,279.52,293.33,24.26,597.11,4013.69,4610.8
2024-02-27,3460.74,109.62,60.56,1.11,0.0,0.0,0.0,3632.03,125.96,197.62,0.0,296.25,349.78,25.89,671.92,3955.61,4627.53
2024-02-28,3522.15,112.2,61.18,1.11,0.0,0.0,0.0,3696.64,135.18,200.07,0.0,205.2,380.72,21.56,607.48,4031.89,4639.37
2024-02-29,3606.53,114.02,67.5,1.11,0.0,0.0,0.0,3789.16,133.23,192.97,0.0,175.61,378.57,22.48,576.66,4115.36,4692.0199999999995
2024-03-01,3598.36,115.3,70.35,1.11,0.0,0.0,0.0,3785.12,129.41,193.95,0.0,201.198,307.45,22.35,530.998,4108.48,4639.477999999999
2024-03-02,3310.02,103.8,81.57,1.11,0.0,0.0,0.0,3496.5,121.98,206.26,0.1,255.62,326.19,22.71,604.52,3824.84,4429.360000000001
2024-03-03,3146.38,94.92,76.68,1.11,0.0,0.0,0.0,3319.09,129.68,224.4,0.0,152.7,384.58,21.91,559.19,3673.17,4232.360000000001
2024-03-04,3388.93,102.13,80.25,1.11,0.0,0.0,0.0,3572.42,134.47,232.42,0.0,111.74,403.92,8.26,523.92,3939.31,4463.23
2024-03-05,3463.88,114.24,81.69,1.11,0.0,0.0,0.0,3660.92,120.16,221.17,0.0,170.11,382.78,23.29,576.18,4002.25,4578.43
2024-03-06,3573.34,115.24,84.61,1.11,0.0,0.0,0.0,3774.3,118.68,216.79,0.0,126.65,359.42,20.98,507.05,4109.77,4616.820000000001
2024-03-07,3589.55,111.03,84.25,1.11,0.0,0.0,0.0,3785.94,118.66,223.88,0.0,112.66,386.83,18.79,518.28,4128.48,4646.759999999999
2024-03-08,3603.19,112.52,81.53,1.11,0.0,0.0,0.0,3798.35,119.33,220.19,0.0,121.18,397.69,20.54,539.41,4137.87,4677.28
2024-03-09,3577.34,116.22,77.16,1.11,0.0,0.0,0.0,3771.83,119.13,224.69,0.0,151.07,387.88,34.98,573.93,4115.65,4689.58
2024-03-10,3531.37,113.93,74.83,1.11,0.0,0.0,0.0,3721.24,119.44,213.83,0.0,133.66,350.26,33.14,517.06,4054.51,4571.57
2024-03-11,3681.86,110.97,78.89,1.11,0.0,0.0,0.0,3872.83,124.24,234.51,0.0,121.42,376.73,35.93,534.08,4231.58,4765.66
2024-03-12,3761.47,106.3,91.66,1.11,0.0,0.0,0.0,3960.54,129.09,236.33,0.27,131.41,381.29,19.36,532.06,4326.23,4858.289999999999
2024-03-13,3766.94,108.97,85.13,1.11,0.0,0.0,0.0,3962.15,133.71,232.73,0.13,158.67,370.57,23.58,552.82,4328.72,4881.54
2024-03-14,3821.1,114.44,81.69,1.11,0.0,0.0,0.0,4018.34,135.17,234.36,0.0,112.77,384.95,18.92,516.64,4387.87,4904.51
2024-03-15,3848.18,119.31,77.21,1.11,0.0,0.0,0.0,4045.81,134.39,217.74,0.5,137.6,378.81,18.68,535.09,4398.44,4933.53
2024-03-16,3801.31,116.2,79.72,1.11,0.0,0.0,0.0,3998.34,134.68,205.48,0.0,140.29,377.50234,21.95,539.74234,4338.5,4878.24234
2024-03-17,3592.67,115.49,72.17,1.11,0.0,0.0,0.0,3781.44,134.72,190.56,0.0,159.09,370.46,22.17,551.72,4106.72,4658.4400000000005
