Delhi_mean,Delhi_max,Delhi_min,date,Mumbai_mean,Mumbai_max,Mumbai_min,Chennai_mean,Chennai_max,Chennai_min,Kolkata_mean,Kolkata_max,Kolkata_min,Bengaluru_mean,Bengaluru_max,Bengaluru_min,india_mean,india_max,india_min
11.1,16.8,7.7,2025-01-01,26.8,32.4,22.4,25.7,27.9,23.6,18.4,23.4,13.8,20.9,26.5,15.9,20.580000000000002,25.4,16.68
12.4,18.2,8.4,2025-01-02,26.7,32.8,21.2,25.4,27.9,23.2,17.2,22.8,12.7,20.6,26.4,16.2,20.46,25.619999999999997,16.34
12.8,19.6,8.6,2025-01-03,26.4,33.3,21.1,25.4,28.3,22.9,17.2,22.9,12.0,20.3,25.9,16.4,20.419999999999998,26.0,16.2
13.5,21.1,8.4,2025-01-04,25.3,32.9,19.3,24.8,27.6,21.6,19.0,24.4,13.9,19.7,25.8,14.2,20.46,26.360000000000003,15.48
12.4,18.1,9.1,2025-01-05,24.4,29.2,21.2,24.9,28.3,21.4,19.8,25.6,14.3,20.2,26.5,14.9,20.34,25.54,16.18
13.0,18.0,8.8,2025-01-06,23.9,29.9,20.0,25.2,28.5,21.7,19.9,25.4,14.1,20.5,26.2,15.8,20.5,25.6,16.08
13.0,17.5,10.2,2025-01-07,24.4,31.4,18.5,25.0,27.2,22.8,21.2,26.9,15.9,21.3,27.3,15.3,20.979999999999997,26.060000000000002,16.54
12.7,18.4,8.7,2025-01-08,25.1,30.6,20.0,25.2,28.0,21.4,19.3,23.8,15.9,21.0,27.1,16.4,20.66,25.580000000000002,16.48
12.8,18.6,7.9,2025-01-09,25.5,32.0,20.4,26.1,28.5,24.4,18.2,23.5,13.8,19.8,25.9,14.6,20.48,25.7,16.22
12.1,17.9,7.8,2025-01-10,25.2,31.3,20.4,25.9,28.4,23.5,18.3,23.9,13.6,20.8,26.9,15.9,20.46,25.68,16.240000000000002
12.2,16.8,7.9,2025-01-11,24.0,28.5,20.5,26.3,28.5,24.5,18.7,24.9,12.8,21.8,27.7,17.7,20.6,25.279999999999998,16.68
13.2,18.0,9.8,2025-01-12,24.4,30.0,20.6,25.4,26.8,24.0,20.2,26.4,14.1,21.8,28.6,17.1,20.999999999999996,25.959999999999997,17.119999999999997
13.4,19.0,9.1,2025-01-13,26.1,32.7,22.0,25.4,26.9,23.6,21.3,27.8,14.4,22.5,28.1,19.0,21.740000000000002,26.9,17.62
13.2,18.2,8.6,2025-01-14,26.2,32.9,21.6,26.1,28.1,24.5,21.5,27.0,16.5,22.2,27.5,18.5,21.84,26.74,17.94
13.0,18.4,9.1,2025-01-15,25.0,30.1,21.9,26.6,28.9,25.2,20.3,25.5,15.5,20.4,25.5,16.8,21.059999999999995,25.68,17.7
13.9,18.0,11.1,2025-01-16,24.5,29.7,20.2,26.1,28.3,24.8,19.5,25.9,13.8,20.8,26.6,16.0,20.96,25.7,17.18
13.2,18.9,9.2,2025-01-17,26.4,33.3,22.9,25.5,27.4,23.7,20.2,25.8,14.6,20.8,26.7,16.2,21.22,26.419999999999998,17.32
12.3,17.8,7.8,2025-01-18,27.2,34.0,22.2,25.4,28.2,23.1,20.4,25.8,15.1,21.2,27.2,15.8,21.300000000000004,26.6,16.8
14.6,21.2,8.9,2025-01-19,26.4,33.2,21.0,25.2,27.4,23.3,20.3,25.5,15.2,20.0,22.9,18.2,21.3,26.040000000000003,17.32
16.3,21.9,11.7,2025-01-20,26.4,33.2,20.9,25.1,27.5,23.2,19.8,24.9,13.9,21.6,27.2,17.9,21.840000000000003,26.939999999999998,17.52
16.0,21.9,11.1,2025-01-21,25.8,31.4,20.9,25.0,27.8,22.4,20.8,26.6,14.2,21.0,27.8,15.6,21.72,27.1,16.839999999999996
16.2,22.8,10.4,2025-01-22,25.6,31.4,20.4,25.3,28.4,22.4,21.9,28.5,15.7,21.6,28.6,15.4,22.119999999999997,27.939999999999998,16.86
16.3,21.9,11.7,2025-01-23,25.3,30.5,21.7,25.7,29.0,22.5,22.2,28.8,15.9,22.4,29.6,16.6,22.380000000000003,27.96,17.68
14.9,20.9,10.4,2025-01-24,25.8,31.7,20.4,25.1,28.5,21.7,22.7,28.5,16.9,21.3,27.6,16.3,21.96,27.439999999999998,17.14
14.2,20.8,9.0,2025-01-25,26.8,33.2,22.0,24.9,28.6,21.5,21.8,26.9,18.8,21.4,29.0,14.9,21.82,27.7,17.240000000000002
14.1,21.0,8.1,2025-01-26,27.0,33.5,21.8,24.6,28.6,19.9,20.4,25.2,16.2,21.9,29.1,15.1,21.6,27.48,16.22
14.4,21.5,7.8,2025-01-27,26.7,32.5,21.6,25.1,29.2,20.8,19.6,25.0,13.6,21.4,28.2,14.9,21.440000000000005,27.28,15.74
15.3,22.9,7.9,2025-01-28,25.4,30.5,21.2,25.8,29.4,22.0,20.6,27.1,13.9,21.3,28.1,15.5,21.68,27.6,16.1
16.6,24.0,10.2,2025-01-29,24.8,30.8,20.5,25.8,29.0,22.0,22.5,28.2,17.5,21.9,29.4,15.1,22.32,28.28,17.06
17.7,24.8,11.3,2025-01-30,25.4,31.4,20.1,26.3,30.8,23.0,24.0,30.0,19.8,22.4,29.3,16.0,23.159999999999997,29.26,18.04
18.8,26.2,12.1,2025-01-31,24.5,29.5,20.5,26.6,30.0,23.0,24.7,30.3,20.5,24.2,30.5,18.5,23.76,29.3,18.919999999999998
19.1,25.5,12.7,2025-02-01,23.8,29.1,19.9,26.9,30.5,23.9,24.9,29.7,21.5,24.5,30.5,19.4,23.840000000000003,29.060000000000002,19.48
17.9,23.6,13.7,2025-02-02,25.0,30.9,20.5,26.4,30.8,23.0,24.9,30.0,21.0,24.0,31.0,17.5,23.639999999999997,29.26,19.14
16.4,22.8,10.8,2025-02-03,24.7,28.9,20.7,25.7,30.9,20.4,24.9,30.8,20.5,23.4,30.3,16.8,23.02,28.74,17.84
17.6,22.9,12.9,2025-02-04,24.6,29.7,20.1,26.1,32.0,20.8,24.0,29.0,18.6,23.9,30.6,17.0,23.240000000000002,28.839999999999996,17.880000000000003
16.2,21.4,11.9,2025-02-05,25.0,31.5,20.9,26.7,32.0,22.7,24.8,30.9,18.0,23.9,30.4,18.1,23.32,29.240000000000002,18.32
15.9,21.1,11.4,2025-02-06,25.5,31.8,19.3,26.6,30.7,22.5,25.6,30.5,21.1,23.4,29.7,17.4,23.4,28.76,18.340000000000003
15.3,20.8,10.6,2025-02-07,27.2,34.3,22.2,26.1,31.0,22.0,22.6,27.5,18.0,23.4,30.0,17.2,22.919999999999998,28.72,18.0
16.7,23.3,11.1,2025-02-08,27.2,33.2,21.9,26.5,31.5,22.0,21.6,27.5,15.7,23.6,29.9,17.6,23.119999999999997,29.080000000000002,17.660000000000004
17.8,25.1,10.8,2025-02-09,27.5,33.0,22.6,26.5,30.4,22.2,22.0,27.6,15.2,23.6,29.6,18.0,23.48,29.139999999999997,17.76
19.2,27.1,11.6,2025-02-10,27.4,33.5,23.2,27.1,30.3,23.8,23.6,30.6,16.0,22.8,28.9,17.0,24.019999999999996,30.080000000000002,18.32
20.3,27.9,12.2,2025-02-11,26.2,32.3,21.7,26.7,30.9,23.0,25.2,31.1,20.6,23.3,30.6,16.5,24.34,30.559999999999995,18.8
19.2,25.2,13.6,2025-02-12,26.0,33.2,20.4,26.2,31.5,21.4,25.9,32.2,20.4,24.3,31.6,17.0,24.32,30.740000000000002,18.56
18.3,23.6,13.7,2025-02-13,27.5,34.8,21.5,25.9,31.8,21.0,26.1,31.4,22.4,24.9,31.9,17.8,24.54,30.7,19.279999999999998
18.5,24.6,12.3,2025-02-14,28.5,34.7,22.5,25.9,32.2,20.7,23.8,29.0,18.5,25.4,32.0,18.4,24.419999999999998,30.5,18.48
19.9,25.6,13.0,2025-02-15,28.7,35.2,22.0,26.4,31.3,21.9,24.1,30.8,16.8,25.4,31.3,19.1,24.9,30.840000000000003,18.560000000000002
20.4,26.6,13.4,2025-02-16,27.5,35.1,21.6,26.9,31.6,22.9,24.9,32.0,18.1,25.1,31.9,18.8,24.959999999999997,31.440000000000005,18.96
21.7,28.8,16.2,2025-02-17,27.1,34.2,20.8,27.0,31.2,23.1,26.3,32.2,21.1,24.7,31.8,18.3,25.36,31.640000000000004,19.9
20.9,26.4,16.8,2025-02-18,28.2,34.8,23.4,26.7,31.0,22.7,25.5,32.3,21.5,24.9,31.6,18.3,25.24,31.22,20.54
20.6,27.0,14.1,2025-02-19,28.0,33.4,23.2,26.6,31.0,21.8,23.3,28.3,20.1,25.8,32.8,18.9,24.86,30.5,19.619999999999997
19.0,23.6,15.1,2025-02-20,28.3,34.7,22.2,27.0,31.1,22.8,22.8,26.9,20.0,25.7,32.7,19.5,24.56,29.8,19.919999999999998
