date,coal,lignite,gas,diesel,hsd,naphtha,multi_fuel,thermal,nuclear,hydro,bhutan,wind,solar,other_re,renewables,total_ex_re,total,co2_coal,co2_lignite,co2_gas,co2_total,emissions_intensity,re_share,clean_share,fossil_share,wind_solar,wind_solar_share,month,cum_fossil,cum_clean,cum_total,cum_clean_pct
2025-01-01,3315.32,85.41,44.54,1.14,0.0,0.0,0.0,3446.41,148.6,213.65,2.7,189.6,371.01,27.55,588.16,3811.36,4399.52,3149.554,93.951,17.816,3261.321,741.2901862021309,13.368731134305559,21.602583918245625,78.33604575044549,560.61,12.742526457431719,1,3446.41,950.41,4399.52,21.602583918245625
2025-01-02,3408.02,88.27,48.87,1.14,0.0,0.0,0.0,3546.3,150.05,224.28,2.05,143.97,361.28,28.34,533.59,3922.68,4456.27,3237.619,97.097,19.548,3354.264,752.7066358187452,11.973915404587245,20.37398990635666,79.58000749505752,505.25,11.337957529503374,1,6992.709999999999,1858.33,8855.79,20.98435035157789
2025-01-03,3505.71,88.8,47.9,1.14,0.0,0.0,0.0,3643.55,145.46,232.04,0.87,155.91,388.84,28.95,573.7,4021.92,4595.62,3330.4245,97.68,19.16,3447.2644999999998,750.1195703735295,12.483625713179073,20.69796893563872,79.28309999521284,544.75,11.8536780673772,1,10636.259999999998,2809.5299999999997,13451.41,20.886509295308073
2025-01-04,3512.14,87.78,45.35,1.14,0.0,0.0,0.0,3646.41,144.89,245.28,2.0,119.43,394.06,29.76,543.25,4038.58,4581.83,3336.533,96.558,18.14,3451.2309999999998,753.2429182226315,11.85661624285493,20.3722093573965,79.58413996154374,513.49,11.20709410868583,1,14282.669999999998,3742.95,18033.239999999998,20.75583755331821
2025-01-05,3412.6,92.82,43.51,1.14,0.0,0.0,0.0,3550.07,150.81,214.6,2.26,139.48,357.98,28.57,526.03,3917.74,4443.77,3241.97,102.10199999999999,17.404,3361.4759999999997,756.4468908156811,11.83747133627528,20.060444172403162,79.88869810993819,497.46000000000004,11.194548772776267,1,17832.739999999998,4634.389999999999,22477.01,20.618356267136953
2025-01-06,3439.79,96.79,57.34,1.14,0.0,0.0,0.0,3595.06,155.46,236.84,2.34,139.48,384.8,31.64,626.95,3989.7,4616.65,3267.8005,106.469,22.936,3397.2055,735.8594435358973,12.041631919248806,20.53913552034484,77.87161686504284,524.28,11.356286484788754,1,21427.8,5582.61,27093.659999999996,20.604857372536603
2025-01-07,3499.05,99.33,55.61,1.14,0.0,0.0,0.0,3655.13,156.3,245.09,1.67,226.82,389.15,28.56,644.53,4058.19,4702.72,3324.0975,109.263,22.244,3455.6045,734.8097484009254,13.705472577572127,22.240745781164943,77.7237428551987,615.97,13.098164466521503,1,25082.93,6628.53,31796.379999999997,20.84680708936049
2025-01-08,3550.17,99.0,58.69,1.14,0.0,0.0,0.0,3709.0,157.29,235.6,2.14,156.69,408.17,25.31,590.17,4104.03,4694.2,3372.6615,108.9,23.476,3505.0375000000004,746.6740871714031,12.572323292573815,20.942013548634485,79.01239827872695,564.86,12.033147288142814,1,28791.93,7611.59,36490.579999999994,20.859054583402077
2025-01-09,3570.71,96.33,53.84,1.14,0.0,0.0,0.0,3722.02,157.43,237.88,2.04,155.14,394.86,34.94,584.94,4119.37,4704.31,3392.1745,105.963,21.536,3519.6735000000003,748.1806045945101,12.434129553537074,20.83727475442732,79.11936075641273,550.0,11.691406391160445,1,32513.95,8591.84,41194.88999999999,20.856567404355253
2025-01-10,3642.13,96.7,57.68,1.14,0.0,0.0,0.0,3797.65,157.31,250.07,2.3,155.14,355.74,30.24,559.76,4207.33,4767.09,3460.0235,106.37,23.072,3589.4655,752.9678483099751,11.351159722178519,19.89683433709034,79.66390397496166,510.88,10.716810465084569,1,36311.6,9540.34,45961.979999999996,20.757025698196642
