Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wind,gas_total,total
2020-01-01,829.861577,153415.741238,14934.575434,289658.378658,1278.77758,108440.074173,-28.933694,3954.234317,349713.472491,304592.95409199997,922196.181774
2020-01-02,815.791618,196713.965407,17640.046331,313319.304998,2216.224027,92305.814149,-29.794426,7181.875467,272849.904152,330959.35132899997,903013.131723
2020-01-03,825.492881,178036.893024,18017.523098,339497.056045,2240.83457,95549.535643,-37.884666,10759.906768,266141.718609,357514.57914299995,911031.0759719999
2020-01-04,760.234727,194337.978392,19472.143562,375653.680264,2307.535835,116273.206678,-59.47334,15787.615071,191189.675041,395125.82382600004,915722.59623
2020-01-05,729.143935,165773.447074,15548.693514,291698.473466,2193.512222,122064.434206,69.489137,15409.573022,266110.656668,307247.16698,879597.4232440003
2020-01-06,712.686761,177505.693429,14881.880033,399311.191583,1592.343624,122291.168267,-49.297396,11896.477161,197319.324137,414193.07161600003,925461.467599
2020-01-07,747.409539,156259.144589,15070.034443,404236.561357,1590.403493,122263.09422,-19.804682,16137.992987,223393.440553,419306.5958,939678.276499
2020-01-08,765.478496,148524.715885,15719.547356,255547.77684,1477.456383,122258.636133,-69.859083,8799.571111,421906.23614,271267.324196,974929.5592610001
2020-01-09,816.359338,138440.719773,13908.078853,253787.803273,1426.263424,122257.83992,-5.887141,13094.232241,348313.409857,267695.882126,892038.819538
2020-01-10,755.536441,107906.366758,14522.005183,303237.961179,1506.452945,122269.112217,-63.574276,11280.832167,334818.28154,317759.966362,896232.9741539999
2020-01-11,679.298411,122011.12763,25812.823136,359012.961116,1380.200937,122242.083882,-13.210886,15563.522946,304937.940502,384825.78425200004,951626.7476740001
2020-01-12,694.326675,127159.892791,20634.224939,402002.001481,1362.152646,122281.614775,-68.452489,12484.715005,294989.475876,422636.22641999996,981539.951699
2020-01-13,759.963033,129768.07083,20950.140505,348162.552806,1396.756107,122306.781602,-54.636972,7728.726249,318035.731818,369112.693311,949054.0859780001
2020-01-14,770.713711,151673.725679,23485.863466,376464.191588,1771.624207,122259.211231,-51.660463,12557.66411,219271.099303,399950.055054,908202.4328320002
2020-01-15,702.492821,150961.383483,16295.487553,349233.556866,1287.191441,122195.11661,-35.231272,4284.525651,269513.145917,365529.044419,914437.6690700001
2020-01-16,804.630104,157150.795982,21348.470058,390991.231576,1738.323976,122151.618158,-20.667985,1523.034099,239112.67242,412339.701634,934800.108388
2020-01-17,858.61258,156164.287569,19546.428227,432222.07912,1742.04358,122088.645084,-72.460929,7862.554749,183753.186095,451768.507347,924165.3760749999
2020-01-18,856.699784,131794.790289,15088.886955,324807.915786,1593.240448,121455.367049,-38.483126,12299.082637,254390.334736,339896.802741,862247.8345580001
2020-01-19,834.243854,156095.073702,30862.060655,459623.115835,1685.449883,122280.776182,-50.648839,15675.818158,141015.593177,490485.17649,928021.4826069999
2020-01-20,866.037941,156716.573787,30939.953107,562894.666579,1904.296389,122259.680152,-57.969439,12664.268457,99746.496558,593834.6196859999,987934.003531
2020-01-21,830.726974,138116.583568,23158.923615,409296.199258,1814.337055,122295.375855,-10.488526,6872.755703,312046.648669,432455.122873,1014421.062171
2020-01-22,836.42572,170380.662184,19542.101319,420223.826696,1879.165649,122306.485928,-4.7038,11781.713808,279502.361272,439765.928015,1026448.0387759999
2020-01-23,875.71889,133852.860843,26237.295313,478253.586132,1863.105964,122301.981062,-48.271412,17551.39043,156039.848773,504490.881445,936927.5159950001
2020-01-24,874.744818,151399.072796,27176.241119,494474.553492,1937.844874,122373.227173,-17.429069,18638.89961,136222.942187,521650.794611,953080.0969999998
2020-01-25,867.551472,125348.473758,14876.871778,342550.930788,1827.685994,122374.544155,-19.570902,12549.671142,289379.201571,357427.802566,909755.359756
2020-01-26,830.852206,145117.56065,17858.642791,455710.847341,1934.499337,122369.730753,-59.136168,18550.613704,70282.483737,473569.490132,832596.0943509999
2020-01-27,819.72454,115051.151089,13972.917425,371575.634037,1879.196491,122318.679996,-24.075282,17321.613958,259718.673818,385548.551462,902633.5160719999
2020-01-28,850.112552,141845.290746,15894.504468,251889.01385,1912.67539,122291.61493,55.69916,6867.086443,382347.6746,267783.518318,923953.672139
2020-01-29,873.544937,134171.348623,34859.01204,506153.755658,1867.555496,122409.194686,-33.144441,19055.200854,186744.803796,541012.767698,1006101.271649
2020-01-30,898.788599,168848.9959,50908.811908,591651.879734,1775.148321,122423.110209,-23.410106,5299.174051,79165.018718,642560.691642,1020947.517334
2020-01-31,915.310695,126325.109581,44175.361514,520063.904094,1922.434646,122448.279006,-48.327852,10027.679245,138603.847549,564239.265608,964433.5984780001
2020-02-01,940.854563,119530.390418,21992.43125,426689.873468,1806.21041,122401.884228,-29.355095,20623.00067,207135.277242,448682.304718,921090.5671539999
2020-02-02,872.147891,129922.271104,15790.446173,241682.780593,1734.970882,122405.734144,-10.593325,14122.332122,332891.228839,257473.226766,859411.318423
2020-02-03,898.836673,127491.011269,14229.486343,212821.296719,1482.293156,122393.567469,44.500296,7064.445157,383112.752489,227050.783062,869538.189571
2020-02-04,840.258856,146708.239562,21693.312589,304008.048466,1525.65938,122350.376474,118.21707,7763.942101,323562.227485,325701.361055,928570.281983
2020-02-05,831.454743,189601.911524,79771.069738,517026.589657,1700.714439,122382.60588,-18.05732,4191.985966,196495.321411,596797.659395,1111983.5960380002
2020-02-06,849.355791,177291.92953,87455.68939,549640.72922,1786.756034,122455.910081,-33.711447,19419.967178,180585.904166,637096.4186099999,1139452.5299429996
2020-02-07,947.213644,154341.017586,32736.954893,485738.313184,1700.784365,122495.2947,-58.822519,18491.601389,198524.022127,518475.26807700004,1014916.379369
2020-02-08,877.067417,112116.702862,20459.807404,342271.380478,1648.194321,122482.866226,-26.872822,18697.753763,282083.804111,362731.187882,900610.70376
2020-02-09,832.054819,103792.593352,14701.51079,231946.239996,1575.271454,122445.079871,4.782965,15047.541785,360915.590204,246647.750786,851260.6652359999
2020-02-10,1942.328386,141450.958323,44331.655646,438841.167509,1638.552538,122365.835392,53.783712,8132.711745,201936.191062,483172.823155,960693.1843130001
2020-02-11,2549.009024,151010.452883,50868.825435,509500.595585,1688.164887,122397.666254,-37.431723,1980.766797,203781.553167,560369.42102,1043739.6023090001
2020-02-12,2736.476547,130854.765405,58543.964216,518763.59581,1858.287952,122438.269315,-24.320971,13857.258412,175118.60369,577307.560026,1024146.9003760001
2020-02-13,3119.272178,136580.888223,65512.711452,524865.150216,1575.915377,122426.576123,-40.285692,20990.876217,179764.655976,590377.861668,1054795.76007
2020-02-14,2945.817077,155433.875792,57573.656625,486940.372239,1667.504725,122469.882725,14.450695,15711.015529,223676.688696,544514.028864,1066433.2641029998
2020-02-15,2103.699035,131627.031624,30488.559985,369476.172652,1596.753935,122439.817013,17.668228,15593.073355,263733.818278,399964.732637,937076.5941050001
2020-02-16,940.863802,139414.636077,28961.218805,349836.796769,1817.974485,122364.006055,-55.982954,20219.181371,174399.791997,378798.015574,837898.486407
2020-02-17,887.56543,132513.430929,21385.330612,325921.501652,1670.518576,122352.088731,-27.790046,13874.232152,267588.65957,347306.832264,886165.5376059999
2020-02-18,836.686959,133251.978073,24474.203496,324481.232455,1759.038356,122285.636105,-32.78294,7067.404135,300847.091102,348955.43595099996,914970.4877409999
2020-02-19,854.680439,186922.053671,63544.453434,496989.353291,1605.776209,122280.090788,134.898308,4072.014922,97238.613262,560533.806725,973641.9343240001
2020-02-20,901.637512,145100.803633,37777.602704,411109.323174,1758.45652,122305.683581,13.139701,5161.430444,330087.452976,448886.92587800004,1054215.530245
2020-02-21,875.401415,167206.616605,84623.800101,515148.40996,1709.596633,122393.437479,-47.973986,13937.053453,156525.034733,599772.210061,1062371.3763929997
2020-02-22,870.309881,135604.922023,36147.801584,332775.180299,1787.070382,122389.189594,-33.019595,11515.284621,304754.098612,368922.981883,945810.837401
2020-02-23,854.58194,156166.940016,25894.932575,219593.393881,1800.475452,122442.919415,-2.812345,6011.580618,348349.492905,245488.32645599998,881111.504457
2020-02-24,868.236577,134751.284631,35203.077951,314587.288882,2838.687079,122285.859633,-12.401031,21583.277425,248395.333746,349790.36683300004,880500.644893
2020-02-25,875.433786,130084.555164,32438.558681,302218.782012,3226.174843,122387.601976,-21.474107,17387.59817,320493.032189,334657.340693,929090.262714
2020-02-26,766.887058,150501.537291,65439.492328,401265.106993,3228.785561,122072.029677,-22.232005,23127.835661,266382.780489,466704.59932100005,1032762.223053
2020-02-27,858.271395,153966.97074,80863.057931,459584.904951,3172.389977,122421.384123,-43.665589,24042.04767,204307.032681,540447.962882,1049172.3938789999
2020-02-28,850.052076,171867.804825,79003.24223,456843.977271,2887.942802,122448.435277,-33.238403,19167.460245,94681.426692,535847.219501,947717.1030149999
