Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total,co2_coal,co2_gas,co2_gas_cc,co2_biomass,co2_other,co2_nuclear,co2_hydro,co2_wind,co2_solar,co2_total,intensity
2025-01-01,292.796362,160852.712431,33392.590576,392943.040304,799.300791,122009.869343,11770.418412,146729.160664,-12125.698021,234138.509198,426335.63088,1102928.3980810002,152810.07680945,18365.9248168,145388.92491248,0.0,7650.771967800001,0.0,0.0,0.0,0.0,324215.69850652997,0.29395897237811375
2025-01-02,298.855389,207305.928419,49677.692111,429615.579997,862.531788,122080.055087,11132.706371,98232.155457,-14243.803994,243637.74493,479293.272108,1162843.249549,196940.63199805,27322.73066105,158957.76459889,0.0,7236.259141150001,0.0,0.0,0.0,0.0,390457.38639914,0.33577817693878853
2025-01-03,354.828444,215368.25287,42884.689529,420293.663532,1014.426645,122096.610508,10450.898963,107655.848302,-13078.744523,202267.479041,463178.353061,1122386.697834,204599.84022649997,23586.579240950003,155508.65550683998,0.0,6793.08432595,0.0,0.0,0.0,0.0,390488.15930024,0.3479087555597464
2025-01-04,353.449159,126122.109895,22864.549994,221772.461472,404.07302,122041.276713,5085.313824,45266.698101,-13093.722168,534207.972536,244637.011466,1078117.9047140002,119816.00440024999,12575.5024967,82055.81074464,0.0,3305.4539856,0.0,0.0,0.0,0.0,217752.77162718997,0.20197491450154031
2025-01-05,368.514137,127774.767068,34229.757116,265332.644661,939.041796,121981.615278,4255.592727,53919.988912,-6067.397578,535183.154815,299562.401777,1143985.07651,121386.02871459999,18826.366413800002,98173.07852457,0.0,2766.13527255,0.0,0.0,0.0,0.0,241151.60892551998,0.21079961083164706
2025-01-06,1313.991934,226607.147793,133236.363807,568834.030848,1331.695506,122220.621736,10077.651477,159045.442132,-9621.040615,244168.003046,702070.394655,1466834.9482789997,215276.79040335,73280.00009385,210468.59141375998,0.0,6550.47346005,0.0,0.0,0.0,0.0,505575.85537100997,0.3446712637738754
2025-01-07,1561.618425,242170.947713,140751.822744,589332.908315,2432.111825,122366.766564,10044.825719,141251.856736,-13188.92058,229078.883444,730084.731059,1478991.741485,230062.40032734998,77413.50250920001,218053.17607655,0.0,6529.13671735,0.0,0.0,0.0,0.0,532058.21563045,0.3597438719273918
2025-01-08,1566.92569,261604.185185,170550.714486,655180.956767,1787.382036,122449.673096,12987.985429,79976.443782,-11324.875733,193742.662423,825731.671253,1499846.928894,248523.97592575,93802.89296730001,242416.95400379002,0.0,8442.19052885,0.0,0.0,0.0,0.0,593186.01342569,0.39549770179754973
2025-01-09,1555.114735,275656.115022,203050.452967,716281.09279,2381.43191,122494.152035,9423.542002,29532.43446,-12223.364637,159917.246842,919331.545757,1520291.582763,261873.30927089998,111677.74913185001,265024.0043323,0.0,6125.3023013,0.0,0.0,0.0,0.0,644700.36503635,0.42406362854727
2025-01-10,1489.942681,236239.701254,112087.919596,537774.596711,2253.711419,122550.288549,11095.870597,78667.857397,-10227.052396,433979.676201,649862.516307,1536139.5644050003,224427.71619130002,61648.35577780001,198976.60078307,0.0,7212.31588805,0.0,0.0,0.0,0.0,492264.98864022,0.32045590130405316
