date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-01-01,2425063,2596042,2472776,15079,174917,100570,801478,908615
2019-01-02,2820707,3444920,2483620,5370,194811,104513,883068,405758
2019-01-03,2748844,3642577,2491132,8506,198077,109090,889461,600604
2019-01-04,2694576,3585464,2474477,7944,196867,110895,852584,672992
2019-01-05,2554427,3289062,2452693,5516,185386,71306,831193,541596
2019-01-06,2244798,2588963,2437436,5672,189655,93041,796035,1196422
2019-01-07,2303684,2887932,2458337,8485,185357,105854,855135,1255983
2019-01-08,2348540,2975507,2471452,9835,181804,99564,883830,1079774
2019-01-09,2572976,3218330,2478340,9602,177054,104162,888250,860539
2019-01-10,3002343,3612618,2465892,10878,182138,119844,909785,807479
2019-01-11,3172865,3607734,2462529,9967,186267,102330,946788,802955
2019-01-12,3036142,3138127,2472440,8815,187449,71411,855888,805435
2019-01-13,3028449,3334188,2463902,8752,183878,89180,826535,440691
2019-01-14,3305787,3944448,2462125,10200,187786,49949,925734,277233
2019-01-15,3407215,3939812,2478141,9404,199859,51004,896411,412395
2019-01-16,3417112,3644540,2454505,40990,194021,94419,848503,611301
2019-01-17,3363668,3598664,2469958,27508,191512,71791,843923,468316
2019-01-18,3196088,2988228,2480909,9596,195838,104840,789157,896072
2019-01-19,2967092,2540330,2482726,9570,204598,114354,730252,1181431
2019-01-20,3316055,3098202,2497217,9432,212622,97773,708605,689119
2019-01-21,3706392,3476206,2505450,43245,244052,128327,845334,1275063
2019-01-22,3738851,3314110,2497333,79652,223695,131813,869566,1218029
2019-01-23,3474935,3272682,2499814,16936,191825,129852,766974,923836
2019-01-24,3182722,3403417,2500665,9163,163181,135044,757196,955605
2019-01-25,3391315,3661596,2495740,14996,178080,152974,811384,739586
2019-01-26,3448824,3489217,2501007,11719,185179,147235,799622,499706
2019-01-27,3217286,3110383,2505518,8331,188082,120579,732616,667655
2019-01-28,3062107,3075246,2509074,27252,176697,119406,793538,1259556
2019-01-29,3401941,3721254,2507479,33038,174119,127335,839841,929340
2019-01-30,3813875,4247506,2502127,25526,206356,122784,878364,658981
2019-01-31,3985248,4250053,2482898,52014,238300,115996,911263,754328
