period,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2023-01-01 00:00:00,86338,161844,95720,987,9943,2156,31996,46706
2023-01-01 01:00:00,84338,155872,95741,987,10318,216,33636,53205
2023-01-01 02:00:00,79480,147096,95728,949,10546,50,33865,58741
2023-01-01 03:00:00,77556,140008,95752,930,10046,66,31410,59732
2023-01-01 04:00:00,75531,130987,95797,922,9571,52,29405,61493
2023-01-01 05:00:00,74815,127108,95801,904,9754,66,26317,57703
2023-01-01 06:00:00,70566,119126,95807,928,8950,58,24045,61617
2023-01-01 07:00:00,67963,115237,95773,928,9055,55,21702,59929
2023-01-01 08:00:00,66829,113498,95814,921,8740,50,20128,57087
2023-01-01 09:00:00,66448,108580,95871,919,8253,55,18530,56711
2023-01-01 10:00:00,65643,105786,95928,924,7838,56,18019,58092
2023-01-01 11:00:00,65988,105758,95983,916,7717,50,18991,57250
2023-01-01 12:00:00,67343,109073,96108,812,7877,57,20597,54810
2023-01-01 13:00:00,68983,116181,96090,939,7694,453,22232,51365
2023-01-01 14:00:00,70599,121010,96067,911,8149,2427,23237,47891
2023-01-01 15:00:00,71947,125946,96033,909,9129,6492,24223,44955
2023-01-01 16:00:00,72569,127723,96047,931,9588,13740,25233,39126
2023-01-01 17:00:00,73909,129698,96029,915,8948,21592,24780,32089
2023-01-01 18:00:00,74642,131533,95992,914,8356,25898,23714,29409
2023-01-01 19:00:00,75054,132472,95953,934,7807,28138,23303,28099
2023-01-01 20:00:00,75603,136327,95937,941,7389,27299,23327,25698
2023-01-01 21:00:00,76730,142425,96025,970,7647,23441,24311,24124
2023-01-01 22:00:00,76933,148327,95988,946,8154,17853,27765,26100
2023-01-01 23:00:00,79780,156292,95982,944,8862,9950,30274,28627
2023-01-02 00:00:00,81999,159772,95945,979,9235,4735,33387,33338
2023-01-02 01:00:00,80724,158844,96028,999,10477,684,34778,41183
2023-01-02 02:00:00,77824,154500,95991,1026,11488,52,33966,46463
2023-01-02 03:00:00,75931,150004,95966,953,10556,13,32220,47675
2023-01-02 04:00:00,74686,142326,96023,959,9954,57,30533,47179
2023-01-02 05:00:00,73613,128297,96061,1025,9547,71,28115,53321
2023-01-02 06:00:00,70475,124745,96120,967,9443,84,25868,48332
2023-01-02 07:00:00,68197,118461,96175,945,9169,57,23544,47996
2023-01-02 08:00:00,66692,114724,96193,939,8654,44,21709,47976
2023-01-02 09:00:00,65271,116090,96153,926,8759,47,19619,47497
2023-01-02 10:00:00,65608,117866,96287,945,8688,47,19743,46119
2023-01-02 11:00:00,67351,124032,96331,944,8928,39,19853,44191
2023-01-02 12:00:00,70699,130985,96327,896,8683,25,21973,43025
2023-01-02 13:00:00,72950,135039,96320,938,9236,625,25841,44186
2023-01-02 14:00:00,72945,138932,96300,945,9323,3228,27833,46998
2023-01-02 15:00:00,74130,146805,96437,955,9667,6796,30659,45573
2023-01-02 16:00:00,75772,149492,96472,1003,9487,13094,30921,42500
2023-01-02 17:00:00,77754,148779,96392,1027,9098,21944,28542,40790
2023-01-02 18:00:00,80780,147708,96492,1023,8436,26523,28218,40530
2023-01-02 19:00:00,81633,146714,96574,1014,8687,26999,27808,40969
2023-01-02 20:00:00,81466,149592,96565,1013,7855,26132,26903,42505
2023-01-02 21:00:00,80503,151017,96665,1015,8865,22166,27953,45159
2023-01-02 22:00:00,81998,155681,96655,993,9717,16257,32968,48634
2023-01-02 23:00:00,83309,162640,96703,1105,9883,9445,36497,53034
2023-01-03 00:00:00,85372,169353,96714,1072,10201,3117,39249,55921
2023-01-03 01:00:00,86445,171474,96718,1174,10025,286,38927,54878
2023-01-03 02:00:00,84447,166132,96747,1239,10808,129,38938,56056
2023-01-03 03:00:00,80850,157869,96783,1117,10453,116,36421,57894
2023-01-03 04:00:00,77335,149434,96785,1031,9859,115,33707,59872
2023-01-03 05:00:00,74529,137075,96835,1038,9795,82,29891,58330
2023-01-03 06:00:00,71097,125547,96778,1036,9125,58,25906,62822
2023-01-03 07:00:00,67680,120015,96781,967,8775,42,21502,63747
2023-01-03 08:00:00,64687,116202,96813,958,8623,35,19388,64030
2023-01-03 09:00:00,63662,114460,96786,960,8292,30,17301,63691
