date,BAT,COL,GEO,NG,NUC,OES,OIL,OTH,PS,SNB,SUN,UES,UNK,WAT,WND
2024-01-01,,1972120.0,,4419760.0,2256586.0,,7365.0,211889.0,,,275375.0,,0.0,655378.0,713193.0
2024-01-02,,2110664.0,,4765879.0,2237179.0,,7445.0,224758.0,,,298291.0,,0.0,693089.0,1028521.0
2024-01-03,,2457453.0,,5399804.0,2225579.0,,11411.0,242132.0,,,233502.0,,,727610.0,573538.0
2024-01-04,,2296356.0,,5138434.0,2219598.0,,9753.0,225978.0,,,268477.0,,,663635.0,892556.0
2024-01-05,,2443639.0,,5016963.0,2239948.0,,7764.0,241194.0,,,301680.0,,,696780.0,1047200.0
2024-01-06,,2375612.0,,4800362.0,2261822.0,,7421.0,224179.0,,,262415.0,,,596907.0,776438.0
2024-01-07,,2141550.0,,4367355.0,2276386.0,,7029.0,218048.0,,,251108.0,,,553126.0,1163585.0
2024-01-08,,2163618.0,,4410476.0,2272454.0,,8489.0,232950.0,,,235339.0,,,682757.0,1686783.0
2024-01-09,,2045505.0,,4370256.0,2241702.0,,9314.0,214146.0,,,263997.0,,,655248.0,2016044.0
2024-01-10,,2169295.0,,4361661.0,2224469.0,,8091.0,214012.0,,,338284.0,,,669534.0,1811076.0
2024-01-11,,2329408.0,,4365201.0,2224238.0,,8058.0,218851.0,,,275901.0,,,692503.0,1612388.0
2024-01-12,,2226655.0,,4155759.0,2262678.0,,10525.0,225200.0,,,270817.0,,,699889.0,1944174.0
2024-01-13,,2376668.0,,4106264.0,2271479.0,,7040.0,221031.0,,,274605.0,,,731502.0,1801220.0
2024-01-14,,2961646.0,,4431680.0,2274533.0,,16620.0,226200.0,,,291966.0,,,791339.0,1393177.0
2024-01-15,,3272398.0,,5357396.0,2277915.0,,37813.0,259490.0,,,260081.0,,,821625.0,1002803.0
2024-01-16,,3314225.0,,5490754.0,2274955.0,,47792.0,279947.0,,,309716.0,,0.0,827467.0,1318468.0
2024-01-17,,3256316.0,,5675857.0,2268992.0,,75684.0,279123.0,,,325552.0,,0.0,845805.0,1577764.0
2024-01-18,,3203275.0,,5322388.0,2255195.0,,35868.0,262204.0,,,318809.0,,,745366.0,1138884.0
2024-01-19,,2791684.0,,4809561.0,2269240.0,,12631.0,239088.0,,,314697.0,,,654390.0,1485390.0
2024-01-20,,3208653.0,,5619890.0,2274833.0,,12604.0,266529.0,,,325629.0,,,707509.0,967929.0
2024-01-21,,3043846.0,,5352727.0,2257894.0,,18611.0,273294.0,,,244326.0,,,700197.0,1585661.0
2024-01-22,,2989209.0,,5300585.0,2244380.0,,26640.0,270202.0,,,201395.0,,,712852.0,1225092.0
2024-01-23,,2784671.0,,5195451.0,2251454.0,,9345.0,216544.0,,,157974.0,,,695801.0,487606.0
2024-01-24,,2380327.0,,5113778.0,2248698.0,,10651.0,211813.0,,,178863.0,,,671018.0,367690.0
2024-01-25,,2217552.0,,4867205.0,2218778.0,,9808.0,198582.0,,,252389.0,,,680880.0,352107.0
2024-01-26,,2135935.0,,4587519.0,2211648.0,,9485.0,205619.0,,,271484.0,,,688859.0,575624.0
2024-01-27,,1946310.0,,4111449.0,2210565.0,,7911.0,211576.0,,,307799.0,,,662211.0,859102.0
2024-01-28,,1908757.0,,4261881.0,2165715.0,,7663.0,208544.0,,,363730.0,,,632976.0,781434.0
2024-01-29,,1979102.0,,4575270.0,2167326.0,,7837.0,210657.0,,,434931.0,,,720838.0,900796.0
2024-01-30,,2044377.0,,4699960.0,2155805.0,,19258.0,223448.0,,,429474.0,,,795530.0,906045.0
2024-01-31,,2035589.0,,4689933.0,2176887.0,,13867.0,220339.0,,,350467.0,,,800130.0,720446.0
2024-02-01,,1846704.0,,4264765.0,2266660.0,,9060.0,234995.0,,,331219.0,,,783755.0,1363289.0
2024-02-02,,1722178.0,,3983859.0,2305295.0,,8080.0,204942.0,,,311897.0,,,788376.0,1402846.0
2024-02-03,,1563281.0,,3531553.0,2299227.0,,8931.0,197795.0,,,382253.0,,,732234.0,1597896.0
2024-02-04,,1651047.0,,3736846.0,2281272.0,,8037.0,208496.0,,,284586.0,,,735282.0,1374900.0
2024-02-05,,1830046.0,,4422638.0,2288584.0,,7267.0,167087.0,,,310975.0,,,753264.0,1066055.0
2024-02-06,,1891358.0,,4764391.0,2290113.0,,8829.0,143734.0,,,358518.0,,,773799.0,828571.0
2024-02-07,,1720611.0,,4156629.0,2300799.0,,11673.0,132772.0,,,353475.0,,,754778.0,1742727.0
2024-02-08,,1605207.0,,3919880.0,2301746.0,,12330.0,141334.0,,,351727.0,,,727566.0,1928217.0
2024-02-09,,1495676.0,,3877238.0,2296227.0,,7974.0,136805.0,,,310676.0,,,735494.0,1741368.0
2024-02-10,,1515296.0,,3912444.0,2296139.0,,7634.0,129388.0,,,309754.0,,,670330.0,1128554.0
2024-02-11,,1525547.0,,3897696.0,2285487.0,,7704.0,128833.0,,,316373.0,,,642798.0,1128953.0
2024-02-12,,1628217.0,,4354371.0,2260120.0,,7828.0,133459.0,,,399282.0,,,694920.0,1105348.0
2024-02-13,,1846147.0,,4828598.0,2260967.0,,9224.0,135096.0,,,507796.0,,,759175.0,645481.0
2024-02-14,,1788034.0,,4482421.0,2250048.0,,11649.0,136539.0,,,494850.0,,,800525.0,1095275.0
2024-02-15,,1649894.0,,4412246.0,2214204.0,,7133.0,137993.0,,,424994.0,,,794431.0,1318074.0
2024-02-16,,1645197.0,,4328485.0,2184860.0,,5682.0,146951.0,,,312733.0,,,802134.0,1411944.0
2024-02-17,,1623238.0,,4306525.0,2175772.0,,4387.0,148593.0,,,339449.0,,,738791.0,1727522.0
2024-02-18,,1687575.0,,4825050.0,2185082.0,,4624.0,143547.0,,,442586.0,,,725984.0,1270970.0
2024-02-19,,1684617.0,,4591781.0,2180357.0,,4981.0,153234.0,,,528198.0,,,728076.0,1349265.0
2024-02-20,,1717417.0,,4696993.0,2182985.0,,4924.0,162234.0,,,494198.0,,,747675.0,1158277.0
2024-02-21,,1616021.0,,4290073.0,2172652.0,,10150.0,146631.0,,,472924.0,,,756362.0,1339673.0
2024-02-22,,1547777.0,,4011157.0,2198220.0,,8593.0,146199.0,,,470277.0,,,719494.0,1468947.0
2024-02-23,,1370241.0,,3949090.0,2217155.0,,5109.0,149164.0,,,461881.0,,,729211.0,1415577.0
2024-02-24,,1355907.0,,3921211.0,2218330.0,,4828.0,142354.0,,,484162.0,,,668961.0,1226159.0
2024-02-25,,1330843.0,,3597928.0,2200322.0,,5366.0,133546.0,,,519474.0,,,665796.0,1607996.0
2024-02-26,,1292705.0,,3779236.0,2194283.0,,8792.0,147065.0,,,448631.0,,,712262.0,1721612.0
2024-02-27,,1227752.0,,3616398.0,2188370.0,,8735.0,135783.0,,,350016.0,,,715631.0,2062564.0
2024-02-28,,1303785.0,,3827375.0,2189192.0,,11464.0,138175.0,,,382776.0,,,697032.0,1845363.0
2024-02-29,,1431519.0,,4582599.0,2179410.0,,9738.0,141245.0,,,446543.0,,,760046.0,1451870.0
2024-03-01,,1413012.0,,4420797.0,2148436.0,,13471.0,133512.0,,,422522.0,,,774176.0,1759846.0
2024-03-02,,1269539.0,,3907955.0,2120202.0,,9161.0,132049.0,,,408420.0,,,699360.0,1718407.0
2024-03-03,,1123615.0,,3273403.0,2093376.0,,6795.0,117182.0,,,412646.0,,,710435.0,1990488.0
2024-03-04,,1210477.0,,3735195.0,2084159.0,,8813.0,128382.0,,,421231.0,,,725225.0,1793813.0
2024-03-05,,1334929.0,,4237029.0,2074728.0,,7807.0,127607.0,,,439215.0,,,753272.0,1316426.0
2024-03-06,,1371139.0,,4410768.0,2083025.0,,7706.0,127802.0,,,399365.0,,,775957.0,1183175.0
2024-03-07,,1370596.0,,4254629.0,2084477.0,,7779.0,147288.0,,,383112.0,,,784707.0,1306864.0
2024-03-08,,1382771.0,,4026307.0,2104373.0,,7656.0,130696.0,,,393037.0,,,787751.0,1441613.0
2024-03-09,,1263009.0,,3856060.0,2091239.0,,7814.0,117440.0,,,426447.0,,,739288.0,1546325.0
2024-03-10,,1248775.0,,3975133.0,2083055.0,,7533.0,117479.0,,,535599.0,,,726763.0,1122120.0
2024-03-11,,1233757.0,,3791797.0,2096793.0,,7581.0,122415.0,,,562679.0,,,805540.0,1714762.0
2024-03-12,,1249049.0,,3618612.0,2111337.0,,8452.0,117148.0,,,538705.0,,,790355.0,1795593.0
2024-03-13,,1286373.0,,3692425.0,2102677.0,,8439.0,110608.0,,,527491.0,,,789106.0,1503405.0
2024-03-14,,1240433.0,,3871823.0,2103217.0,,8223.0,111661.0,,,497130.0,,,825260.0,1508140.0
2024-03-15,,1183321.0,,3903583.0,2094595.0,,9181.0,113757.0,,,352827.0,,,813955.0,1604914.0
2024-03-16,,1103122.0,,3742444.0,2080186.0,,8297.0,101791.0,,,418380.0,,,760755.0,1292656.0
