period,BAT,COL,GEO,NG,NUC,OES,OIL,OTH,PS,SNB,SUN,UES,UNK,WAT,WND
2024-01-01 00:00:00,,88700.0,,194720.0,93973.0,,296.0,9824.0,,,7107.0,,,31141.0,36489.0
2024-01-01 01:00:00,,88829.0,,193932.0,94154.0,,299.0,10545.0,,,2417.0,,,33318.0,41286.0
2024-01-01 02:00:00,,83911.0,,190651.0,94197.0,,299.0,11272.0,,,652.0,,,33587.0,44828.0
2024-01-01 03:00:00,,80567.0,,187166.0,94239.0,,305.0,12148.0,,,147.0,,,33638.0,45822.0
2024-01-01 04:00:00,,78910.0,,184852.0,94189.0,,307.0,11049.0,,,84.0,,,31860.0,44674.0
2024-01-01 05:00:00,,78563.0,,180805.0,93159.0,,306.0,10932.0,,,10.0,,,29162.0,42043.0
2024-01-01 06:00:00,,77391.0,,178289.0,94275.0,,307.0,9774.0,,,-12.0,,,26830.0,38298.0
2024-01-01 07:00:00,,76256.0,,177340.0,94314.0,,305.0,9540.0,,,0.0,,,25176.0,36083.0
2024-01-01 08:00:00,,75867.0,,178552.0,94306.0,,308.0,8846.0,,,-28.0,,0.0,23255.0,34878.0
2024-01-01 09:00:00,,74893.0,,178384.0,94329.0,,313.0,8753.0,,,-29.0,,0.0,21959.0,32839.0
2024-01-01 10:00:00,,75334.0,,180542.0,94379.0,,316.0,9350.0,,,-15.0,,0.0,21092.0,31485.0
2024-01-01 11:00:00,,77254.0,,182062.0,94373.0,,314.0,9147.0,,,-6.0,,0.0,21853.0,29687.0
2024-01-01 12:00:00,,81880.0,,185993.0,94373.0,,315.0,9012.0,,,-36.0,,0.0,23879.0,26549.0
2024-01-01 13:00:00,,85219.0,,190930.0,94353.0,,313.0,9093.0,,,465.0,,0.0,26475.0,23781.0
2024-01-01 14:00:00,,87695.0,,192543.0,94367.0,,312.0,9554.0,,,4248.0,,0.0,27510.0,21283.0
2024-01-01 15:00:00,,88426.0,,191143.0,94366.0,,306.0,9121.0,,,12798.0,,0.0,27748.0,19100.0
2024-01-01 16:00:00,,87294.0,,186340.0,94255.0,,306.0,8545.0,,,22709.0,,0.0,29483.0,17559.0
2024-01-01 17:00:00,,87661.0,,182153.0,94168.0,,305.0,8399.0,,,29122.0,,0.0,28048.0,16027.0
2024-01-01 18:00:00,,87764.0,,179115.0,93976.0,,305.0,7697.0,,,34429.0,,0.0,26105.0,15986.0
2024-01-01 19:00:00,,85065.0,,176393.0,93664.0,,318.0,6651.0,,,35723.0,,0.0,24839.0,17822.0
2024-01-01 20:00:00,,80842.0,,176078.0,93446.0,,305.0,5388.0,,,36563.0,,0.0,24737.0,20537.0
2024-01-01 21:00:00,,79200.0,,176988.0,93281.0,,303.0,5362.0,,,34953.0,,0.0,25084.0,22980.0
2024-01-01 22:00:00,,80082.0,,183696.0,93294.0,,302.0,5701.0,,,31168.0,,0.0,27948.0,25217.0
2024-01-01 23:00:00,,84517.0,,191093.0,93156.0,,300.0,6186.0,,,22906.0,,0.0,30651.0,27940.0
2024-01-02 00:00:00,,92526.0,,198578.0,93168.0,,302.0,8286.0,,,13015.0,,0.0,32079.0,33727.0
2024-01-02 01:00:00,,94060.0,,200855.0,93068.0,,300.0,9820.0,,,7049.0,,0.0,34085.0,39810.0
2024-01-02 02:00:00,,91403.0,,201308.0,93088.0,,305.0,10605.0,,,1299.0,,0.0,35453.0,43327.0
2024-01-02 03:00:00,,88518.0,,199585.0,93066.0,,304.0,11707.0,,,178.0,,0.0,33454.0,45844.0
2024-01-02 04:00:00,,85816.0,,192628.0,93060.0,,306.0,11334.0,,,82.0,,0.0,31700.0,48086.0
2024-01-02 05:00:00,,80782.0,,184104.0,94254.0,,308.0,10660.0,,,143.0,,0.0,29622.0,50967.0
2024-01-02 06:00:00,,77553.0,,180362.0,93094.0,,309.0,9923.0,,,38.0,,0.0,26581.0,52851.0
2024-01-02 07:00:00,,74540.0,,178861.0,93107.0,,311.0,9783.0,,,34.0,,0.0,23923.0,54689.0
2024-01-02 08:00:00,,74207.0,,178200.0,93113.0,,311.0,8808.0,,,-47.0,,,21692.0,53925.0
2024-01-02 09:00:00,,73267.0,,179412.0,93123.0,,311.0,8602.0,,,-70.0,,,20173.0,53147.0
2024-01-02 10:00:00,,74473.0,,185075.0,93163.0,,312.0,8861.0,,,-51.0,,,21443.0,52872.0
2024-01-02 11:00:00,,77604.0,,194723.0,93252.0,,313.0,8975.0,,,-43.0,,,25468.0,52042.0
2024-01-02 12:00:00,,85939.0,,208500.0,93290.0,,315.0,9412.0,,,-47.0,,,30346.0,50765.0
2024-01-02 13:00:00,,94824.0,,218259.0,93275.0,,316.0,10278.0,,,1036.0,,,35919.0,48018.0
2024-01-02 14:00:00,,99915.0,,220980.0,93260.0,,312.0,11123.0,,,6918.0,,,37200.0,45319.0
2024-01-02 15:00:00,,97953.0,,216064.0,93303.0,,312.0,10759.0,,,16372.0,,,34395.0,42515.0
2024-01-02 16:00:00,,95870.0,,210589.0,93260.0,,316.0,11690.0,,,24183.0,,,32105.0,38175.0
2024-01-02 17:00:00,,94797.0,,203755.0,93239.0,,308.0,10451.0,,,31596.0,,,28452.0,35095.0
2024-01-02 18:00:00,,92749.0,,197782.0,93184.0,,304.0,8253.0,,,39030.0,,,25579.0,34270.0
2024-01-02 19:00:00,,91120.0,,195080.0,93164.0,,359.0,7314.0,,,41158.0,,,23615.0,32810.0
2024-01-02 20:00:00,,90391.0,,194868.0,93161.0,,310.0,6717.0,,,38758.0,,,23612.0,31077.0
2024-01-02 21:00:00,,90167.0,,199092.0,93178.0,,306.0,6138.0,,,33884.0,,,24925.0,29799.0
2024-01-02 22:00:00,,92964.0,,208875.0,93164.0,,298.0,7103.0,,,26000.0,,,28385.0,29776.0
2024-01-02 23:00:00,,99226.0,,218344.0,93145.0,,297.0,8156.0,,,17776.0,,,32883.0,29615.0
2024-01-03 00:00:00,,105640.0,,227961.0,93145.0,,291.0,9393.0,,,11229.0,,,35885.0,30317.0
2024-01-03 01:00:00,,108240.0,,232290.0,93164.0,,296.0,11055.0,,,5954.0,,,37618.0,30649.0
2024-01-03 02:00:00,,109826.0,,234034.0,93133.0,,301.0,12790.0,,,953.0,,,37519.0,29574.0
2024-01-03 03:00:00,,109010.0,,230234.0,93150.0,,304.0,14589.0,,,-24.0,,,35076.0,28042.0
2024-01-03 04:00:00,,107026.0,,224848.0,93125.0,,305.0,13586.0,,,56.0,,,32240.0,26568.0
2024-01-03 05:00:00,,101846.0,,213433.0,93141.0,,305.0,12716.0,,,28.0,,,29502.0,25261.0
2024-01-03 06:00:00,,100563.0,,213648.0,93147.0,,304.0,12258.0,,,-3.0,,,26437.0,24840.0
