date,BAT,COL,GEO,NG,NUC,OES,OIL,OTH,PS,SNB,SUN,UES,UNK,WAT,WNB,WND
2025-01-01,11360.0,1809147.0,6567.0,3657928.0,2344472.0,,7119.0,123591.0,3510.0,132.0,483931.0,-12367.0,,722423.0,,1270310.0
2025-01-02,12988.0,2285128.0,10545.0,4292652.0,2346007.0,,8376.0,130761.0,4650.0,292.0,468820.0,-14740.0,,767909.0,,1046433.0
2025-01-03,12245.0,2508398.0,10461.0,4507875.0,2349649.0,,9908.0,145147.0,6286.0,274.0,417743.0,-13766.0,,748450.0,,1070649.0
2025-01-04,9208.0,2592069.0,10293.0,4109950.0,2351546.0,,7621.0,120228.0,4327.0,275.0,389623.0,-12667.0,,670615.0,,1474457.0
2025-01-05,4180.0,2583146.0,10363.0,4089165.0,2349893.0,,8483.0,133334.0,4223.0,991.0,335172.0,-6029.0,,657854.0,,1564769.0
2025-01-06,7376.0,2784852.0,10947.0,4814164.0,2350502.0,0.0,22320.0,140947.0,3670.0,2446.0,416766.0,-9445.0,,685349.0,,1189847.0
2025-01-07,11452.0,3203032.0,11200.0,5475953.0,2348757.0,0.0,37006.0,147408.0,1451.0,3795.0,459878.0,-13444.0,,755960.0,,754514.0
2025-01-08,9795.0,3199548.0,10936.0,5425718.0,2351015.0,-21.0,75917.0,152706.0,3922.0,4258.0,424367.0,-11634.0,,733097.0,,1064415.0
2025-01-09,9965.0,3000806.0,11148.0,5586162.0,2350935.0,-17.0,57764.0,146592.0,3341.0,4806.0,419919.0,-13118.0,,735314.0,,1255693.0
2025-01-10,8908.0,2990663.0,11047.0,5247510.0,2350172.0,0.0,38478.0,154270.0,6103.0,2072.0,351573.0,-10682.0,,716531.0,,1516040.0
2025-01-11,11958.0,2792333.0,11086.0,4529130.0,2342036.0,0.0,11198.0,132311.0,2863.0,2376.0,447394.0,-15494.0,,624071.0,,1582806.0
2025-01-12,12791.0,2660947.0,10736.0,4072612.0,2349268.0,0.0,7255.0,140107.0,124.0,4767.0,510069.0,-15229.0,,648536.0,,1801009.0
2025-01-13,13456.0,2819882.0,10276.0,4539620.0,2346396.0,0.0,7554.0,138898.0,2529.0,2026.0,514571.0,-15671.0,,683647.0,,1297819.0
2025-01-14,16762.0,2915376.0,10047.0,4957504.0,2346630.0,0.0,11865.0,148176.0,4512.0,4841.0,512165.0,-18630.0,,715763.0,,1152419.0
2025-01-15,13785.0,3034048.0,9925.0,5143074.0,2345580.0,0.0,13240.0,157076.0,7343.0,4490.0,513714.0,-17597.0,,699966.0,,915706.0
2025-01-16,14826.0,2834643.0,9895.0,4866810.0,2340762.0,0.0,25361.0,148398.0,4243.0,5148.0,518075.0,-17313.0,,714262.0,,1288418.0
2025-01-17,13326.0,2551477.0,9953.0,3992982.0,2279746.0,0.0,18474.0,126593.0,4743.0,5608.0,454369.0,-15963.0,,609757.0,,1982066.0
2025-01-18,8829.0,2362310.0,9795.0,3644609.0,2286522.0,0.0,12077.0,142667.0,521.0,3057.0,396679.0,-12460.0,,582016.0,,2006356.0
2025-01-19,7763.0,2643793.0,9926.0,4059688.0,2306219.0,0.0,23629.0,153068.0,-1293.0,3989.0,500138.0,-10177.0,,625942.0,,1578225.0
2025-01-20,16497.0,3269828.0,9778.0,5399093.0,2328186.0,-23.0,99896.0,170467.0,1505.0,6105.0,527604.0,-19391.0,,726476.0,,1289542.0
2025-01-21,10478.0,3317382.0,9493.0,6173911.0,2331905.0,-24.0,248335.0,192890.0,5619.0,3612.0,459218.0,-13678.0,,796315.0,,1380990.0
2025-01-22,8321.0,3038597.0,9689.0,6090240.0,2332191.0,-24.0,261458.0,200991.0,2960.0,4742.0,515306.0,-10982.0,,779997.0,,1722400.0
2025-01-23,14070.0,2978305.0,9648.0,5931105.0,2330265.0,143.0,170979.0,176398.0,3667.0,6167.0,516389.0,-16707.0,,703521.0,,1426725.0
2025-01-24,16824.0,2949445.0,9815.0,5606166.0,2329216.0,-24.0,62708.0,173336.0,3764.0,8646.0,567462.0,-19600.0,,638735.0,,1380184.0
2025-01-25,14442.0,2703408.0,9687.0,4732370.0,2328419.0,-21.0,37514.0,167347.0,3731.0,7678.0,459236.0,-14024.0,,608695.0,,1889038.0
2025-01-26,7043.0,2616106.0,9636.0,4440679.0,2324346.0,-15.0,18735.0,142965.0,2889.0,6011.0,394493.0,-12372.0,,551975.0,,1277300.0
