date,BAT,COL,GEO,NG,NUC,OES,OIL,OTH,PS,SNB,SUN,UES,UNK,WAT,WNB,WND,co2_COL,co2_NG,co2_OIL,co2_OTH,co2_NUC,co2_WAT,co2_WND,co2_SUN,co2_GEO,co2_SNB,co2_WNB,co2_UNK,co2_total,intensity,total_gen,re,clean,fossil,re_share,clean_share,fossil_share,wind_solar,wind_solar_share,cum_fossil,cum_clean,cum_total,cum_clean_pct
2025-01-01,11360.0,1809147.0,6567.0,3657928.0,2344472.0,,7119.0,123591.0,3510.0,132.0,483931.0,-12367.0,,722423.0,,1270310.0,1718689.65,1463171.2000000002,5552.820000000001,61795.5,0.0,0.0,0.0,0.0,0.0,0.0,,,3249209.17,0.3116562055781814,10425620.0,1760940.0,4827835.0,5597785.0,16.89050627204905,46.30741385164623,53.69258614835377,1754241.0,16.826251100653966,5597785.0,4827835.0,10425620.0,46.30741385164623
2025-01-02,12988.0,2285128.0,10545.0,4292652.0,2346007.0,,8376.0,130761.0,4650.0,292.0,468820.0,-14740.0,,767909.0,,1046433.0,2170871.6,1717060.8,6533.280000000001,65380.5,0.0,0.0,0.0,0.0,0.0,0.0,,,3959846.18,0.3486724511560041,11356923.0,1526090.0,4640006.0,6716917.0,13.437530570560352,40.85618965630039,59.14381034369961,1515253.0,13.342108597548826,12314702.0,9467841.0,21782543.0,43.46526941321773
2025-01-03,12245.0,2508398.0,10461.0,4507875.0,2349649.0,,9908.0,145147.0,6286.0,274.0,417743.0,-13766.0,,748450.0,,1070649.0,2382978.1,1803150.0,7728.240000000001,72573.5,0.0,0.0,0.0,0.0,0.0,0.0,,,4266429.84,0.3625279571305022,11768554.0,1499127.0,4597226.0,7171328.0,12.738412892526984,39.063643672791066,60.93635632720893,1488392.0,12.647195228912574,19486030.0,14065067.0,33551097.0,41.92133270634936
2025-01-04,9208.0,2592069.0,10293.0,4109950.0,2351546.0,,7621.0,120228.0,4327.0,275.0,389623.0,-12667.0,,670615.0,,1474457.0,2462465.55,1643980.0,5944.38,60114.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4172503.93,0.355812983507604,11726677.0,1874648.0,4896809.0,6829868.0,15.986182615927769,41.757856893304044,58.242143106695956,1864080.0,15.896063309324543,26315898.0,18961876.0,45277774.0,41.87899343284853
2025-01-05,4180.0,2583146.0,10363.0,4089165.0,2349893.0,,8483.0,133334.0,4223.0,991.0,335172.0,-6029.0,,657854.0,,1564769.0,2453988.7,1635666.0,6616.74,66667.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4162938.44,0.3548008287615367,11733170.0,1911295.0,4919042.0,6814128.0,16.289672782376797,41.92423701352661,58.07576298647339,1899941.0,16.192904389862246,33130026.0,23880918.0,57010944.0,41.88830481389678
2025-01-06,7376.0,2784852.0,10947.0,4814164.0,2350502.0,0.0,22320.0,140947.0,3670.0,2446.0,416766.0,-9445.0,,685349.0,,1189847.0,2645609.4,1925665.6,17409.600000000002,70473.5,0.0,0.0,0.0,0.0,0.0,0.0,,,4659158.1,0.3751896902434664,12418140.0,1620006.0,4655857.0,7762283.0,13.045480241002275,37.49238613834278,62.50761386165722,1606613.0,12.937629951023261,40892309.0,28536775.0,69429084.0,41.102047378300426
2025-01-07,11452.0,3203032.0,11200.0,5475953.0,2348757.0,0.0,37006.0,147408.0,1451.0,3795.0,459878.0,-13444.0,,755960.0,,754514.0,3042880.4,2190381.2,28864.68,73704.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5335830.279999999,0.4043060478940599,13197503.0,1229387.0,4334104.0,8863399.0,9.315300023042237,32.840333508543246,67.15966649145676,1214392.0,9.201680045081256,49755708.0,32870879.0,82626587.0,39.78244799098382
2025-01-08,9795.0,3199548.0,10936.0,5425718.0,2351015.0,-21.0,75917.0,152706.0,3922.0,4258.0,424367.0,-11634.0,,733097.0,,1064415.0,3039570.6,2170287.2,59215.26,76353.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5345426.06,0.3976666572186517,13441977.0,1503976.0,4588088.0,8853889.0,11.188651788349288,34.132538688319435,65.86746131168056,1488782.0,11.07561782020606,58609597.0,37458967.0,96068564.0,38.99190894536531
2025-01-09,9965.0,3000806.0,11148.0,5586162.0,2350935.0,-17.0,57764.0,146592.0,3341.0,4806.0,419919.0,-13118.0,,735314.0,,1255693.0,2850765.7,2234464.8000000003,45055.92,73296.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5203582.42,0.3834865587271233,13569139.0,1691566.0,4777815.0,8791324.0,12.466273652292898,35.210892894530744,64.78910710546926,1675612.0,12.34869802719244,67400921.0,42236782.0,109637703.0,38.523957401770815
2025-01-10,8908.0,2990663.0,11047.0,5247510.0,2350172.0,0.0,38478.0,154270.0,6103.0,2072.0,351573.0,-10682.0,,716531.0,,1516040.0,2841129.85,2099004.0,30012.84,77135.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5047281.69,0.377272191740151,13378356.0,1880732.0,4947435.0,8430921.0,14.058020282910697,36.980889131669095,63.019110868330905,1867613.0,13.959958906759546,75831842.0,47184217.0,123016059.0,38.356144216910735
2025-01-11,11958.0,2792333.0,11086.0,4529130.0,2342036.0,0.0,11198.0,132311.0,2863.0,2376.0,447394.0,-15494.0,,624071.0,,1582806.0,2652716.35,1811652.0,8734.44,66155.5,0.0,0.0,0.0,0.0,0.0,0.0,,,4539258.29,0.3638759546190177,12474741.0,2043662.0,5009769.0,7464972.0,16.382400243820694,40.159302706164404,59.840697293835596,2030200.0,16.27448617971307,83296814.0,52193986.0,135490800.0,38.52216239036156
2025-01-12,12791.0,2660947.0,10736.0,4072612.0,2349268.0,0.0,7255.0,140107.0,124.0,4767.0,510069.0,-15229.0,,648536.0,,1801009.0,2527899.65,1629044.8,5658.900000000001,70053.5,0.0,0.0,0.0,0.0,0.0,0.0,,,4232656.85,0.3467882615970463,12205306.0,2326581.0,5324385.0,6880921.0,19.062045638183918,43.6235273413055,56.37647265869451,2311078.0,18.93502711034037,90177735.0,57518371.0,147696106.0,38.943728821124104
2025-01-13,13456.0,2819882.0,10276.0,4539620.0,2346396.0,0.0,7554.0,138898.0,2529.0,2026.0,514571.0,-15671.0,,683647.0,,1297819.0,2678887.9,1815848.0,5892.12,69449.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4570077.0200000005,0.3697267215444058,12360689.0,1824692.0,4854735.0,7505954.0,14.762057357805864,39.27560186976632,60.72439813023368,1812390.0,14.662532161435337,97683689.0,62373106.0,160056795.0,38.96935834557977
2025-01-14,16762.0,2915376.0,10047.0,4957504.0,2346630.0,0.0,11865.0,148176.0,4512.0,4841.0,512165.0,-18630.0,,715763.0,,1152419.0,2769607.2,1983001.6,9254.7,74088.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4835951.5,0.3785544039641838,12774786.0,1679472.0,4741865.0,8032921.0,13.146772086827912,37.11893882214544,62.88106117785457,1664584.0,13.030230017160365,105716610.0,67114971.0,172831581.0,38.83258523220938
2025-01-15,13785.0,3034048.0,9925.0,5143074.0,2345580.0,0.0,13240.0,157076.0,7343.0,4490.0,513714.0,-17597.0,,699966.0,,915706.0,2882345.6,2057229.6,10327.2,78538.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5028440.4,0.3917201294183551,12836819.0,1443835.0,4489381.0,8347438.0,11.247607370642212,34.97269066425257,65.02730933574743,1429420.0,11.135313195582176,114064048.0,71604352.0,185668400.0,38.5657182374599
2025-01-16,14826.0,2834643.0,9895.0,4866810.0,2340762.0,0.0,25361.0,148398.0,4243.0,5148.0,518075.0,-17313.0,,714262.0,,1288418.0,2692910.85,1946724.0,19781.58,74199.0,0.0,0.0,0.0,0.0,0.0,0.0,,,4733615.43,0.3712123640541879,12751772.0,1821536.0,4876560.0,7875212.0,14.28457158738409,38.24221449379741,61.75778550620259,1806493.0,14.166603668886173,121939260.0,76480912.0,198420172.0,38.544927780830676
2025-01-17,13326.0,2551477.0,9953.0,3992982.0,2279746.0,0.0,18474.0,126593.0,4743.0,5608.0,454369.0,-15963.0,,609757.0,,1982066.0,2423903.15,1597192.8,14409.72,63296.5,0.0,0.0,0.0,0.0,0.0,0.0,,,4098802.17,0.3406860321543676,12031025.0,2451996.0,5341499.0,6689526.0,20.380607637337633,44.397705099939536,55.602294900060464,2436435.0,20.251267036682243,128628786.0,81822411.0,210451197.0,38.87951799105234
2025-01-18,8829.0,2362310.0,9795.0,3644609.0,2286522.0,0.0,12077.0,142667.0,521.0,3057.0,396679.0,-12460.0,,582016.0,,2006356.0,2244194.5,1457843.6,9420.06,71333.5,0.0,0.0,0.0,0.0,0.0,0.0,,,3782791.66,0.3304877317036179,11446088.0,2415887.0,5284425.0,6161663.0,21.106661070577125,46.16795712211893,53.83204287788107,2403035.0,20.994378166584077,134790449.0,87106836.0,221897285.0,39.255476244335306
