period,BAT,COL,GEO,NG,NUC,OES,OIL,OTH,PS,SNB,SUN,UES,UNK,WAT,WNB,WND
2025-01-01 00:00:00,3318.0,82452.0,,181989.0,97555.0,,310.0,1496.0,435.0,8.0,16847.0,-65.0,,37139.0,,49892.0
2025-01-01 01:00:00,2882.0,84475.0,,176566.0,97604.0,,311.0,6625.0,166.0,28.0,8152.0,-64.0,,39565.0,,51242.0
2025-01-01 02:00:00,1347.0,82752.0,,171647.0,97576.0,,313.0,10910.0,164.0,30.0,1508.0,-54.0,,39254.0,,54139.0
2025-01-01 03:00:00,981.0,80186.0,,164210.0,97568.0,,313.0,12416.0,164.0,29.0,153.0,-267.0,,37189.0,,55836.0
2025-01-01 04:00:00,696.0,77719.0,,159528.0,97604.0,,316.0,10997.0,163.0,14.0,48.0,-623.0,,34881.0,,56939.0
2025-01-01 05:00:00,459.0,75967.0,,160829.0,97389.0,,321.0,9519.0,164.0,0.0,116.0,-511.0,,31819.0,,55697.0
2025-01-01 06:00:00,107.0,74015.0,,149508.0,97721.0,,290.0,8239.0,0.0,0.0,183.0,-840.0,,29453.0,,59143.0
2025-01-01 07:00:00,238.0,71973.0,,145779.0,97744.0,,292.0,7114.0,0.0,-1.0,168.0,-950.0,,27741.0,,60539.0
2025-01-01 08:00:00,85.0,70880.0,,144271.0,97754.0,,297.0,6192.0,0.0,0.0,42.0,-710.0,,26052.0,,60708.0
2025-01-01 09:00:00,45.0,70126.0,430.0,140909.0,97776.0,,296.0,5763.0,0.0,0.0,-59.0,-760.0,,24938.0,,61051.0
2025-01-01 10:00:00,-97.0,71377.0,440.0,141456.0,97797.0,,297.0,6531.0,0.0,0.0,-74.0,-810.0,,23469.0,,58994.0
2025-01-01 11:00:00,-146.0,71703.0,435.0,142664.0,97786.0,,296.0,6642.0,0.0,-1.0,-75.0,-212.0,,24757.0,,57473.0
2025-01-01 12:00:00,-175.0,73483.0,434.0,148069.0,97808.0,,299.0,6214.0,0.0,0.0,-4.0,-321.0,,26210.0,,56250.0
2025-01-01 13:00:00,21.0,75299.0,444.0,151039.0,97756.0,,294.0,5820.0,0.0,0.0,1760.0,-209.0,,28526.0,,55686.0
2025-01-01 14:00:00,1283.0,76184.0,450.0,149707.0,97701.0,,294.0,5760.0,206.0,1.0,9664.0,-292.0,,30148.0,,54010.0
2025-01-01 15:00:00,221.0,75778.0,447.0,147205.0,97688.0,,292.0,5672.0,205.0,2.0,26557.0,-525.0,,29897.0,,51110.0
2025-01-01 16:00:00,3.0,74437.0,448.0,142256.0,97686.0,,290.0,5766.0,205.0,1.0,42541.0,-975.0,,29839.0,,48772.0
2025-01-01 17:00:00,-67.0,74544.0,445.0,139946.0,97691.0,,290.0,4313.0,205.0,4.0,52997.0,-1338.0,,27999.0,,47931.0
2025-01-01 18:00:00,-79.0,73867.0,440.0,138501.0,97687.0,,288.0,1328.0,205.0,1.0,60184.0,-829.0,,27100.0,,48226.0
2025-01-01 19:00:00,-70.0,72793.0,436.0,140482.0,97680.0,,284.0,-1260.0,188.0,12.0,62499.0,-210.0,,26464.0,,47847.0
2025-01-01 20:00:00,-85.0,72422.0,431.0,140659.0,97726.0,,286.0,-1278.0,130.0,3.0,61654.0,-545.0,,26338.0,,46952.0
2025-01-01 21:00:00,-36.0,72145.0,430.0,147288.0,97715.0,,287.0,-1124.0,130.0,1.0,57698.0,-800.0,,27794.0,,45719.0
2025-01-01 22:00:00,-31.0,73616.0,427.0,157356.0,97717.0,,282.0,-524.0,253.0,0.0,49189.0,-398.0,,32165.0,,43940.0
2025-01-01 23:00:00,460.0,80954.0,430.0,176064.0,97743.0,,281.0,460.0,527.0,0.0,32183.0,-59.0,,33686.0,,42214.0
2025-01-02 00:00:00,3261.0,90751.0,432.0,188129.0,97741.0,,283.0,2610.0,322.0,1.0,15310.0,-53.0,,36596.0,,39310.0
2025-01-02 01:00:00,3910.0,96149.0,432.0,187880.0,97773.0,,284.0,5903.0,130.0,61.0,8034.0,-59.0,,38802.0,,39895.0
2025-01-02 02:00:00,1752.0,96763.0,434.0,186185.0,97727.0,,285.0,9868.0,128.0,46.0,1822.0,-116.0,,38677.0,,42375.0
2025-01-02 03:00:00,619.0,96268.0,437.0,183085.0,97715.0,,284.0,11211.0,128.0,48.0,385.0,-673.0,,36702.0,,45398.0
2025-01-02 04:00:00,372.0,94630.0,440.0,175882.0,97722.0,,284.0,10505.0,128.0,46.0,335.0,-488.0,,34688.0,,47078.0
2025-01-02 05:00:00,197.0,90525.0,440.0,161425.0,97672.0,,288.0,9177.0,128.0,15.0,282.0,-232.0,,31861.0,,52195.0
2025-01-02 06:00:00,240.0,89401.0,445.0,163869.0,97756.0,,289.0,8669.0,0.0,0.0,-16.0,-605.0,,30268.0,,52736.0
2025-01-02 07:00:00,69.0,86230.0,445.0,161724.0,97745.0,,295.0,7985.0,0.0,-1.0,-44.0,-816.0,,28636.0,,55062.0
2025-01-02 08:00:00,40.0,85484.0,443.0,161088.0,97695.0,,289.0,6791.0,0.0,0.0,-22.0,-1179.0,,26659.0,,55590.0
2025-01-02 09:00:00,-106.0,85728.0,447.0,160856.0,97682.0,,302.0,5916.0,0.0,0.0,-55.0,-1350.0,,25689.0,,55375.0
2025-01-02 10:00:00,-76.0,87569.0,445.0,165273.0,97733.0,,301.0,5629.0,0.0,0.0,-49.0,-1151.0,,25837.0,,54745.0
2025-01-02 11:00:00,-100.0,89794.0,445.0,172288.0,97844.0,,300.0,5524.0,0.0,-1.0,-54.0,-561.0,,29561.0,,54874.0
2025-01-02 12:00:00,-7.0,94752.0,448.0,185188.0,97842.0,,314.0,5485.0,138.0,0.0,25.0,-253.0,,34821.0,,54391.0
2025-01-02 13:00:00,292.0,102593.0,450.0,195802.0,97862.0,,310.0,5829.0,247.0,1.0,2054.0,-41.0,,37907.0,,52034.0
2025-01-02 14:00:00,1137.0,106601.0,444.0,195487.0,97845.0,,342.0,6473.0,173.0,3.0,11291.0,-58.0,,38304.0,,49840.0
2025-01-02 15:00:00,537.0,104073.0,447.0,187800.0,97784.0,,363.0,7551.0,171.0,3.0,26767.0,-430.0,,36682.0,,46143.0
2025-01-02 16:00:00,509.0,98791.0,443.0,181433.0,97772.0,,392.0,8522.0,172.0,6.0,41951.0,-918.0,,35758.0,,38620.0
2025-01-02 17:00:00,185.0,97780.0,445.0,178925.0,97721.0,,404.0,6936.0,171.0,8.0,51466.0,-1322.0,,31288.0,,31792.0
2025-01-02 18:00:00,28.0,97938.0,437.0,174721.0,97705.0,,387.0,2635.0,171.0,22.0,59323.0,-898.0,,27775.0,,30401.0
2025-01-02 19:00:00,-50.0,97373.0,432.0,174006.0,97694.0,,377.0,13.0,171.0,18.0,62022.0,-615.0,,25988.0,,29905.0
2025-01-02 20:00:00,29.0,96093.0,429.0,175530.0,97711.0,,397.0,-391.0,171.0,3.0,59554.0,-586.0,,25335.0,,29647.0
2025-01-02 21:00:00,22.0,96203.0,431.0,180978.0,97740.0,,414.0,-1556.0,247.0,1.0,53831.0,-903.0,,26569.0,,29726.0
2025-01-02 22:00:00,40.0,99747.0,427.0,191423.0,97772.0,,416.0,-948.0,902.0,6.0,43663.0,-944.0,,30049.0,,29504.0
2025-01-02 23:00:00,88.0,103892.0,427.0,203675.0,97754.0,,776.0,424.0,952.0,6.0,30945.0,-489.0,,33457.0,,29797.0
